Product Name	Upfront Comm	Trail Commsiion	Type	Author
Axis Equity Fund	1.25%	0.50%	Mutual Fund	Haren
	0.9	0.45	Mutual Fund	Bishnu
Axis Gold ETF Growth	0.05%	Nil	Mutual Fund	Haren
Axis Money Manager Fund	Nil	0.10%	Mutual Fund	Haren
Axis Treasury Advantage Fund	Nil	0.90%	Mutual Fund	Haren
Axis Triple Advanatage Fund	1.25%	0.50%	Mutual Fund	Haren
Axis Triple Advantage Fund - Growth	0.80%	0.40%	Mutual Fund	Bishnu
Axis Treasury Advantage Fund - Growth	0.00%	0.08%	Mutual Fund	Bishnu
Axis Triple Advantage Fund	0.8	0.4	Mutual Fund	Bishnu
Axis Treasury Advantage	0	0.08	Mutual Fund	Bishnu
				
Birla Sun Life Dividend Yield Plus	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Dynamic Bond Fund	0.50%	Nil	Mutual Fund	Haren
Birla Sun Life Frontline Equity Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Gold Fund	0.40%	Nil	Mutual Fund	Haren
Birla Sun Life Infrastructure Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Medium Term Plan	1.25%	Nil	Mutual Fund	Haren
Birla Sun Life MidCap Fund	1.00%	0.50%	Mutual Fund	Haren
Birla Sun Life Savings Fund	Nil	0.05%	Mutual Fund	Haren
Birla Sun Life 95	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Asset Allocation Aggressive	0	0.55	Mutual Fund	Bishnu
Birla Sun Life Frontline Equity	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Dynamic Bond (less than 5 cr)	0.5	0	Mutual Fund	Bishnu
Birla Sun Life Dividend Yield Plus	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Long Term Adv	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Small and Midcap Fund	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Special Situations	0.75	0.45	Mutual Fund	Bishnu
Birla Sun Life Top 100	0.75	0.45	Mutual Fund	Bishnu
Birla Dynamic Bond Fund [Less than 5 crore]	0.005	0	Mutual Fund	Bishnu
Birla Dynamic Bond Fund [more than 5 crore]	0.0024	0	Mutual Fund	Bishnu
Birla Savings  Fund - Insti Plan	0	0.0004	Mutual Fund	Bishnu
Birla Savings  Fund - Retail Plan	0	0.0004	Mutual Fund	Bishnu
Birla Dividend Yield Plus Fund	0.0075	0.0045	Mutual Fund	Bishnu
				
DSP BlackRock Equity Fund 	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Equity Fund - Regular Plan	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Income Opportunities Fund 	1.25%	0.00%	Mutual Fund	Haren
DSP BlackRock Micro Cap Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Money Manager Fund	Nil	0.70%	Mutual Fund	Haren
DSP BlackRock Opportunities Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Short Term Fund	0.70%	0.00%	Mutual Fund	Haren
DSP BlackRock Small and Mid Cap Fund	0.50%	0.85%	Mutual Fund	Haren
DSP BlackRock Tax Saver Fund 	4.50%	Nil	Mutual Fund	Haren
DSP BlackRock Top 100 Equity Fund	0.50%	0.85%	Mutual Fund	Haren
DSP Short Term Fund	0.004	0	Mutual Fund	Bishnu
DSP Equity Fund	0.005	0.006	Mutual Fund	Bishnu
DSP Money Manager Fund - Reg	0	0.006	Mutual Fund	Bishnu
DSP BlackRock Balanced	0.9	0.6	Mutual Fund	Bishnu
