"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005T5AAI","PRD-007811","01220000000638OAAQ","a33200000000BbFAAU","true","Mutual Fund","Axis Dynamic Bond"
"a342000000005T6AAI","PRD-007812","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla FMP"
"a342000000005T7AAI","PRD-007813","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Cash Manager"
"a342000000005T8AAI","PRD-007814","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life India Gennext"
"a342000000005T9AAI","PRD-007815","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life MNC"
"a342000000005TAAAY","PRD-007816","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Short Term"
"a342000000005TBAAY","PRD-007817","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Tax Relief 96"
"a342000000005TCAAY","PRD-007818","01220000000638OAAQ","a33200000000BbfAAE","true","Mutual Fund","BNP Paribas Equity"
"a342000000005TDAAY","PRD-007819","01220000000638OAAQ","a33200000000BbgAAE","true","Mutual Fund","Canara Robeco Equity Diversified Regular"
"a342000000005TEAAY","PRD-007820","01220000000638OAAQ","a33200000000BbgAAE","true","Mutual Fund","Canara Robeco Equity Taxsaver Regular"
"a342000000005TFAAY","PRD-007821","01220000000638OAAQ","a33200000000BbhAAE","true","Mutual Fund","DSPBR Dual Advantage"
"a342000000005TGAAY","PRD-007822","01220000000638OAAQ","a33200000000BbiAAE","true","Mutual Fund","DWS FMP/FTP"
"a342000000005THAAY","PRD-007823","01220000000638OAAQ","a33200000000BbiAAE","true","Mutual Fund","DWS Tax Saving"
"a342000000005TIAAY","PRD-007824","01220000000638OAAQ","a33200000000BbjAAE","true","Mutual Fund","Fixed Deposit"
"a342000000005TJAAY","PRD-007825","01220000000638OAAQ","a33200000000BbHAAU","true","Mutual Fund","Franklin India High Growth Companies"
"a342000000005TKAAY","PRD-007826","01220000000638OAAQ","a33200000000BbkAAE","true","Mutual Fund","HDFC FMP"
"a342000000005TLAAY","PRD-007827","01220000000638OAAQ","a33200000000BblAAE","true","Mutual Fund","HSBC Brazil"
"a342000000005TMAAY","PRD-007828","01220000000638OAAQ","a33200000000BblAAE","true","Mutual Fund","HSBC India Opportunities"
"a342000000005TNAAY","PRD-007829","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI FMP"
