ID	NAME	IS_ACTIVE__C	PRODUCTTYPE__C	PRODUCT_NAME__C
a342000000005SFAAY	PRD-007759	true	General Insurance	Apollo Munich Easy Health Individual
a342000000005SGAAY	PRD-007760	true	General Insurance	Apollo Munich Optima Senior
a342000000005T5AAI	PRD-007811	true	Mutual Fund	Axis Dynamic Bond
a342000000005PwAAI	PRD-007616	true	Mutual Fund	Axis Equity Fund
a342000000005PxAAI	PRD-007617	true	Mutual Fund	Axis Gold ETF Growth
a342000000005PyAAI	PRD-007618	true	Mutual Fund	Axis Money Manager Fund
a342000000005Q4AAI	PRD-007624	true	Mutual Fund	Axis Treasury Advantage
a342000000005PzAAI	PRD-007619	true	Mutual Fund	Axis Treasury Advantage Fund
a342000000005Q2AAI	PRD-007622	true	Mutual Fund	Axis Treasury Advantage Fund - Growth
a342000000005Q0AAI	PRD-007620	true	Mutual Fund	Axis Triple Advanatage Fund
a342000000005Q3AAI	PRD-007623	true	Mutual Fund	Axis Triple Advantage Fund
a342000000005Q1AAI	PRD-007621	true	Mutual Fund	Axis Triple Advantage Fund - Growth
a342000000005SIAAY	PRD-007762	true	General Insurance	Bajaj Allianz Critical Care j Allianz
a342000000005SJAAY	PRD-007763	true	General Insurance	Bajaj Allianz Critical Care Policy
a342000000005SKAAY	PRD-007764	true	General Insurance	Bajaj Allianz Critical Illness Cover
a342000000005SLAAY	PRD-007765	true	General Insurance	Bajaj Allianz Extra Care
a342000000005SMAAY	PRD-007766	true	General Insurance	Bajaj Allianz Health Guard
a342000000005SHAAY	PRD-007761	true	General Insurance	Bajaj Allianz Individual Health Guard
a342000000005SNAAY	PRD-007767	true	General Insurance	Bajaj Allianz Premier Personal Guard
a342000000005QPAAY	PRD-007645	true	Mutual Fund	Birla Dividend Yield Plus Fund
a342000000005QLAAY	PRD-007641	true	Mutual Fund	Birla Dynamic Bond Fund [Less than 5 crore]
a342000000005QMAAY	PRD-007642	true	Mutual Fund	Birla Dynamic Bond Fund [more than 5 crore]
a342000000005T6AAI	PRD-007812	true	Mutual Fund	Birla FMP
a342000000005QNAAY	PRD-007643	true	Mutual Fund	Birla Savings  Fund - Insti Plan
a342000000005QOAAY	PRD-007644	true	Mutual Fund	Birla Savings  Fund - Retail Plan
a342000000005QDAAY	PRD-007633	true	Mutual Fund	Birla Sun Life 95
a342000000005QEAAY	PRD-007634	true	Mutual Fund	Birla Sun Life Asset Allocation Aggressive
a342000000005T7AAI	PRD-007813	true	Mutual Fund	Birla Sun Life Cash Manager
