ID	NAME	PRODUCT_MANUFACTURER__C	IS_ACTIVE__C	PRODUCTTYPE__C	PRODUCT_NAME__C	IS_RECOMMENDED__C
a342000000005T5AAI	PRD-007811	a33200000000BbFAAU	true	Mutual Fund	Axis Dynamic Bond	TRUE
a342000000005T6AAI	PRD-007812	a33200000000BbDAAU	true	Mutual Fund	Birla FMP	TRUE
a342000000005T7AAI	PRD-007813	a33200000000BbDAAU	true	Mutual Fund	Birla Sun Life Cash Manager	TRUE
a342000000005T8AAI	PRD-007814	a33200000000BbDAAU	true	Mutual Fund	Birla Sun Life India Gennext	TRUE
a342000000005T9AAI	PRD-007815	a33200000000BbDAAU	true	Mutual Fund	Birla Sun Life MNC	TRUE
a342000000005TAAAY	PRD-007816	a33200000000BbDAAU	true	Mutual Fund	Birla Sun Life Short Term	TRUE
a342000000005TBAAY	PRD-007817	a33200000000BbDAAU	true	Mutual Fund	Birla Sun Life Tax Relief 96	TRUE
a342000000005TCAAY	PRD-007818	a33200000000BbfAAE	true	Mutual Fund	BNP Paribas Equity	TRUE
a342000000005TDAAY	PRD-007819	a33200000000BbgAAE	true	Mutual Fund	Canara Robeco Equity Diversified Regular	TRUE
a342000000005TEAAY	PRD-007820	a33200000000BbgAAE	true	Mutual Fund	Canara Robeco Equity Taxsaver Regular	TRUE
a342000000005TFAAY	PRD-007821	a33200000000BbhAAE	true	Mutual Fund	DSPBR Dual Advantage	TRUE
a342000000005TGAAY	PRD-007822	a33200000000BbiAAE	true	Mutual Fund	DWS FMP/FTP	TRUE
a342000000005THAAY	PRD-007823	a33200000000BbiAAE	true	Mutual Fund	DWS Tax Saving	TRUE
a342000000005TIAAY	PRD-007824	a33200000000BbjAAE	true	Mutual Fund	Fixed Deposit	TRUE
a342000000005TJAAY	PRD-007825	a33200000000BbHAAU	true	Mutual Fund	Franklin India High Growth Companies	TRUE
a342000000005TKAAY	PRD-007826	a33200000000BbkAAE	true	Mutual Fund	HDFC FMP	TRUE
a342000000005TLAAY	PRD-007827	a33200000000BblAAE	true	Mutual Fund	HSBC Brazil	TRUE
a342000000005TMAAY	PRD-007828	a33200000000BblAAE	true	Mutual Fund	HSBC India Opportunities	TRUE
a342000000005TNAAY	PRD-007829	a33200000000BbUAAU	true	Mutual Fund	ICICI FMP	TRUE
a342000000005TOAAY	PRD-007830	a33200000000BbUAAU	true	General Insurance	ICICI Lombard Personal Accident Cover	TRUE
a342000000005TPAAY	PRD-007831	a33200000000BbIAAU	true	Mutual Fund	ICICI Prudential Balanced Reg	TRUE
a342000000005TQAAY	PRD-007832	a33200000000BbIAAU	true	Mutual Fund	ICICI Prudential Capital Protection	TRUE
a342000000005TRAAY	PRD-007833	a33200000000BbIAAU	true	Mutual Fund	ICICI Prudential Income Regular	TRUE
a342000000005TSAAY	PRD-007834	a33200000000BbIAAU	true	Mutual Fund	ICICI Prudential Top 100 Reg	TRUE
a342000000005TTAAY	PRD-007835	a33200000000BbIAAU	true	Mutual Fund	ICICI Prudential Ultra Short Term Reg	TRUE
a342000000005TUAAY	PRD-007836	a33200000000BbmAAE	true	Mutual Fund	IDBI Gold	TRUE
a342000000005TVAAY	PRD-007837	a33200000000BbmAAE	true	Mutual Fund	IDBI Nifty Index	TRUE
a342000000005TWAAY	PRD-007838	a33200000000BbGAAU	true	Mutual Fund	IDFC FMP	TRUE
a342000000005TXAAY	PRD-007839	a33200000000BbGAAU	true	Mutual Fund	IDFC Monthly Income Plan Regular	TRUE
a342000000005TYAAY	PRD-007840	a33200000000BbGAAU	true	Mutual Fund	IDFC SSI Short Term Regular	TRUE
a342000000005TZAAY	PRD-007841	a33200000000BbnAAE	true	Mutual Fund	JP Morgan ASEAN Equity Off Shore	TRUE
a342000000005TaAAI	PRD-007842	a33200000000BbJAAU	true	Mutual Fund	Kotak 50	TRUE
a342000000005TbAAI	PRD-007843	a33200000000BbJAAU	true	Mutual Fund	Kotak FMP	TRUE
a342000000005TcAAI	PRD-007844	a33200000000BbJAAU	true	Mutual Fund	Kotak Gold	TRUE
a342000000005TdAAI	PRD-007845	a33200000000BbJAAU	true	Mutual Fund	Kotak Select Focus	TRUE
a342000000005TeAAI	PRD-007846	a33200000000BbKAAU	true	Mutual Fund	L & T Equity	TRUE
a342000000005TfAAI	PRD-007847	a33200000000BbKAAU	true	Mutual Fund	L & T FMP	TRUE
a342000000005TgAAI	PRD-007848	a33200000000BbKAAU	true	Mutual Fund	L & T India Special Situations Fund	TRUE
a342000000005ThAAI	PRD-007849	a33200000000BbKAAU	true	Mutual Fund	L & T Indo Asia	TRUE
a342000000005TiAAI	PRD-007850	a33200000000BbKAAU	true	Mutual Fund	L & T Tax Advantage	TRUE
a342000000005TjAAI	PRD-007851	a33200000000BbLAAU	true	Mutual Fund	Principal Large Cap	TRUE
a342000000005TkAAI	PRD-007852	a33200000000BbLAAU	true	Mutual Fund	Principal Tax Savings	TRUE
a342000000005TlAAI	PRD-007853	a33200000000BbMAAU	true	Mutual Fund	Reliance Banking	TRUE
a342000000005TmAAI	PRD-007854	a33200000000BbMAAU	true	Mutual Fund	Reliance Dual Advantage FTF	TRUE
a342000000005TnAAI	PRD-007855	a33200000000BbMAAU	true	Mutual Fund	Reliance Infrastructure	TRUE
a342000000005ToAAI	PRD-007856	a33200000000BbMAAU	true	Mutual Fund	Reliance Liquid Treasury Institutional	TRUE
a342000000005TpAAI	PRD-007857	a33200000000BbMAAU	true	Mutual Fund	Reliance Regular Savings Fund	TRUE
a342000000005TqAAI	PRD-007858	a33200000000BbMAAU	true	Mutual Fund	Reliance Small Cap	TRUE
a342000000005TrAAI	PRD-007859	a33200000000BboAAE	true	Mutual Fund	Savings Account	TRUE
a342000000005TsAAI	PRD-007860	a33200000000BbRAAU	true	Mutual Fund	Templeton India FMP	TRUE
a342000000005TtAAI	PRD-007861	a33200000000BbRAAU	true	Mutual Fund	Templeton India Income Opportunities	TRUE
a342000000005TuAAI	PRD-007862	a33200000000BbSAAU	true	Mutual Fund	UTI Gold	TRUE
