"ID","ISDELETED","NAME","RECORDTYPEID","PRODUCT_NAME__C","CURRENT_NAV__C","PRODUCTTYPE__C","SIP_ALLOWED__C","CURRENTLY_RECOMMENDED__C","FEES__C","FEES_IN_ADVANCE_OR_ON_SERVICE_DELIVERY__C","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","EARN_UPFRONT_FEES__C","EARN_TRAIL_FEES__C","EARN_ONE_TIME_FEES__C","RECOMMENDED_IMAGE__C","ACTIVE_RECOMMENDATION_COUNT__C","CUSTOMUNIQUEKEY__C","INVESTMENT_TYPE__C","POLICY_TYPE__C","IS_RECOMMENDED__C","ISTOPUPSERVICE__C","ISRENEWALALLOWED__C","SUBSCRIPTION_PERIOD_IN_DAYS__C","RENEWAL_PERIOD_IN_DAYS__C","BASE_PRODUCT_WEIGHTAGE__C","NO_OF_GOALS_ALLOWED__C","GOALS_ALLOWED_LIST__C","DATA_COLLECTION_ANALYSIS_CONTROL__C","FINANCIAL_PLANING_OUTPUT_REPORT__C","RENEWAL_GRACE_DAYS__C","ISRENEWALDATEUPDATE__C"
"a1RW000000015f7MAA","false","PRD-002800","012W00000004QVwIAM","Apollo Munich Easy Health Individual","0.0","General Insurance","","No","","false","a1QW00000001FvMMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Apollo Munich Easy Health IndividualGeneral Insurancea1QW00000001FvMMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015f8MAA","false","PRD-002801","012W00000004QVwIAM","Apollo Munich Optima Senior","0.0","General Insurance","","No","","false","a1QW00000001FvMMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Apollo Munich Optima SeniorGeneral Insurancea1QW00000001FvMMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015i8MAA","false","PRD-002899","012W00000004QVmIAM","Axis Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Equity FundMutual Funda1QW00000001FvAMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gAMAQ","false","PRD-002827","012W00000004QVmIAM","Axis Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Equity FundMutual Funda1QW00000001FvAMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gBMAQ","false","PRD-002828","012W00000004QVmIAM","Axis Gold ETF Growth","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Gold ETF GrowthMutual Funda1QW00000001FvAMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gCMAQ","false","PRD-002829","012W00000004QVmIAM","Axis Money Manager Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Money Manager FundMutual Funda1QW00000001FvAMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gDMAQ","false","PRD-002830","012W00000004QVmIAM","Axis Treasury Advantage Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Treasury Advantage FundMutual Funda1QW00000001FvAMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015i9MAA","false","PRD-002900","012W00000004QVmIAM","AXIS Treasury Advantage Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","AXIS Treasury Advantage FundMutual Funda1QW00000001FvAMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015iAMAQ","false","PRD-002901","012W00000004QVmIAM","Axis Triple Advantage Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Triple Advantage FundMutual Funda1QW00000001FvAMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gEMAQ","false","PRD-002831","012W00000004QVmIAM","Axis Triple Advantage Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvAMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Axis Triple Advantage FundMutual Funda1QW00000001FvAMAU","Lumpsum","","false","false","false","","","","","","","","","false"
