ID	NAME	SHORT_CODE__C	IS_ACTIVE__C	SHORT_CODE__C
				
				
				
				
				
				
				
a1QW00000001FuOMAU	Birla	Birla	true	
a1QW00000001FvAMAU	Axis	Axis	true	
a1QW00000001FvBMAU	DSP	DSP	true	
a1QW00000001FvCMAU	Franklin	Franklin	true	
a1QW00000001FvDMAU	IDFC	IDFC	true	
a1QW00000001FvEMAU	Pramerica	Pramerica	true	
a1QW00000001FvFMAU	Premium	Premium	true	
a1QW00000001FvGMAU	SBI	SBI	true	
a1QW00000001FvHMAU	Sundaram	Sundaram	true	
a1QW00000001FvIMAU	Templeton	Templeton	true	
a1QW00000001FvJMAU	Top Up	TopUp	true	
a1QW00000001FvKMAU	BSLI	BSLI	true	
a1QW00000001FvLMAU	HDFC	HDFC	true	
a1QW00000001FvMMAU	Apollo	Apollo	true	
a1QW00000001FvNMAU	Bajaj	Bajaj	true	
a1QW00000001FvOMAU	Health Guard	HG	true	
a1QW00000001FvPMAU	ICICI	ICICI	true	
a1QW00000001FvQMAU	PHC	PHC	true	
a1QW00000000xDvMAI	HDFC Life	HDFCLife	true	
a1QW00000001FuTMAU	Reliance	Reliance	true	
