Execution_Tracker_Total_Revenue__c	Execution_Tracker_upfront_Comm_Amount__c	LastModifiedDate	CreatedById	Actual_Product_Name__c	Execution_Tracker_Amount__c	Type__c	Execution_Tracker_Trial_Comm_Amount__c	Revenue_Difference__c	Name	CreatedDate	Approve_Action_Plan__c	Action_Plan_Trial_Comm_Amount__c	Action_Plan_Amount__c	IsDeleted	Actual_Commission__c	SystemModstamp	CurrencyIsoCode	Product__c	Remark__c	Execution_Tracker__c	Action_Plan_Upfront_Comm_Amount__c	Commission__c	ET_Remark__c	Execution_Tracker_Actual_Product__c	Id	Action_Amount_Revenue__c	LastModifiedById	Entity__c
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	SIP	0	4319	RPP-04993	2013-06-25T13:11:22.000Z	a31200000001U0YAAU	819	3500	false		2013-06-25T13:11:22.000Z	INR	a342000000005R8AAI			0	a3J2000000001PVEAY			a3L2000000009IaEAI	4319	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-07-18T11:20:52.000Z	00520000001MO8DAAW		0	SIP	0	1402	RPP-04998	2013-06-25T13:11:22.000Z	a31200000001U0bAAE	312	1000	false		2013-07-18T11:20:52.000Z	INR	a342000000005xbAAA			90	a3J2000000001YzEAI			a3L2000000009IfEAI	1402	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	SIP	0	1870.2	RPP-05000	2013-06-25T13:11:22.000Z	a31200000001U0cAAE	70.2	1800	false		2013-06-25T13:11:22.000Z	INR	a342000000005QCAAY			0	a3J2000000001OXEAY			a3L2000000009IhEAI	1870.2	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	SIP	0	3710	RPP-05009	2013-06-25T13:11:22.000Z	a31200000001U0XAAU	0	3500	false		2013-06-25T13:11:22.000Z	INR	a342000000005Q6AAI			210	a3J2000000001OREAY			a3L2000000009IqEAI	3710	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	SIP	0	3290	RPP-05012	2013-06-25T13:11:22.000Z	a31200000001U0aAAE	1170	2000	false		2013-06-25T13:11:22.000Z	INR	a342000000005RfAAI			120	a3J2000000001Q3EAI			a3L2000000009ItEAI	3290	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	SIP	0	1723	RPP-05036	2013-06-25T13:11:22.000Z	a31200000001U0ZAAU	663	1000	false		2013-06-25T13:11:22.000Z	INR	a342000000005QQAAY			60	a3J2000000001OlEAI			a3L2000000009JHEAY	1723	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-07-17T14:16:30.000Z	00520000001MO8DAAW		0	Life Insurance	0	0	RPP-05126	2013-06-25T13:11:22.000Z	a31200000001U0eAAE	0	0	false		2013-07-17T14:16:30.000Z	INR	a342000000005SPAAY			0	a3J2000000001Y1EAI			a3L2000000009KjEAI	0	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	General Insurance	0	600000	RPP-05133	2013-06-25T13:11:22.000Z	a31200000001U0gAAE	0	500000	false		2013-06-25T13:11:22.000Z	INR	a342000000005SJAAY			100000	a3J2000000001QkEAI			a3L2000000009KqEAI	600000	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	General Insurance	0	360000	RPP-05138	2013-06-25T13:11:22.000Z	a31200000001U0fAAE	0	300000	false		2013-06-25T13:11:22.000Z	INR	a342000000005SMAAY			60000	a3J2000000001QnEAI			a3L2000000009KvEAI	360000	00520000001MO8DAAW	0012000000eYRXVAA4
0	0	2013-06-25T13:11:22.000Z	00520000001MO8DAAW		0	General Insurance	0	1200000	RPP-05141	2013-06-25T13:11:22.000Z	a31200000001U0hAAE	0	1000000	false		2013-06-25T13:11:22.000Z	INR	a342000000005SNAAY			200000	a3J2000000001QoEAI			a3L2000000009KyEAI	1200000	00520000001MO8DAAW	0012000000eYRXVAA4
