Action_Plan_Product_Name__c,Product_Name__c
 HDFC Top 200 Fund (G) DIRECT,HDFC Top 200 Fund
Apollo Munich Family Floater,Apollo Munich Family Floater
Apollo Munich Optima Restore,Apollo Munich Optima Restore
Axis Equity,Axis Equity Fund
Axis Mid Cap Fund,Axis Mid Cap
Axis Treasury Advantage,Axis Treasury Advantage Fund
AXIS Treasury Advantage Fund,Axis Treasury Advantage Fund
Axis Treasury Advantage Fund DDR,Axis Treasury Advantage Fund
Axis Treasury Advantage Fund Div,Axis Treasury Advantage Fund
Axis Treasury Advantage Retail,Axis Treasury Advantage Fund
Axis Triple Advanatage,Axis Triple Advantage Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
Axis Triple Advantage Fund,Axis Triple Advanatage Fund
Axis Triple Advantage Funds,Axis Triple Advanatage Fund
Bajaj Allianx Critical Illness,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Critical Care Cover,Bajaj Allianz Critical Care Policy
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Critical Illness Cover,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Critical Illness Policy,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Extra Care Cover,Bajaj Allianz Extra Care
Bajaj Allianz Health Guard,Bajaj Allianz Health Guard
Bajaj Allianz Individual Health GuardBajaj Allianz Individual Health Guard,Bajaj Allianz Individual Health Guard
Bajaj Allianz Premiem Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Birl SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Birla 95,Birla Sun Life 95
Birla Div Yield (Sahana),Birla Sun Life Dividend Yield Plus
Birla Savings,Birla Sun Life Savings Fund
Birla SL - Dynamic,Birla Sun Life Dynamic Bond Fund
Birla SL 95,Birla Sun Life 95
Birla SL Div Yield,Birla Sun Life Dividend Yield Plus
Birla SL Div Yield (Sahana),Birla Sun Life Dividend Yield Plus
Birla SL Dynamic,Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Dynanamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Birla SL Medium Term (D),Birla Sun Life Medium Term Plan
Birla SL Medium Term Fund,Birla Sun Life Medium Term Plan
Birla SL Savings,Birla Sun Life Savings Fund
Birla SL Savings Fund,BSL Savings Fund
Birla Sun Life Floating Rate Long Term,Birla Sun Life Floating Rate Long Term
Birla Sun Life Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
Birla Sun Life Frontline Equity Fund-G,Birla Sun Life Frontline Equity Fund
Birla Sun Life Frontline Equity Fund-Growth,Birla Sun Life Frontline Equity Fund
Birla Sunlife Frontline Equity,BSL Frontline Equity Fund
Birla Tax Relief,Birla Sun Life Tax Relief 96
BLS Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dividend Yield Plus,Birla Sun Life Dividend Yield Plus
BSL Dividend Yield Plus Fund,Birla Sun Life Dividend Yield Plus
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Fund,Birla Sun Life Dynamic Bond Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
BSL Medium Term Plan,Birla Sun Life Medium Term Plan
BSL Saving Fund,Birla Sun Life Savings Fund
BSL Savings,Birla Sun Life Savings Fund
BSL Savings DDR,Birla Sun Life Savings Fund
BSL Savings Div Yield,Birla Sun Life Dividend Yield Plus
BSL Savings Fund,Birla Sun Life Savings Fund
BSL Savings Fund Div,Birla Sun Life Savings Fund
BSL Tax Relief,Birla Sun Life Tax Relief 96
canbank equity tax saver G,Canara Robeco Equity Taxsaver Regular
Deutsche Tax Saving (G),DWS Tax Saving
DSP BlackRock Equity Fund,DSP BlackRock Equity Fund
Dsp Blackrock Small and Mid cap fund - Growth,DSP BlackRock Small and Mid Cap Fund
DSP BlackRock Top 100 (G),DSP BlackRock Top 100 Equity Fund
DSP BR Equity,DSP BlackRock Equity Fund
DSP BR Equity Fund,DSP BlackRock Equity Fund
DSP BR Short Term Fund,DSP BlackRock Short Term Fund
DSP BR Small & Mid Cap,DSP BlackRock Small and Mid Cap Fund
DSP BR Tax Saver Fund,DSP BlackRock Tax Saver Fund
DSP BR Tax Saver Fund (G),DSP BlackRock Tax Saver Fund
DSP BR Top 100,DSP BlackRock Top 100 Equity Fund
DSP BR Top 100 Fund,DSP BlackRock Top 100 Equity Fund
DSP BR US Flexible Equity,DSP BR US Flexible Equity
DSP Equity,DSP BlackRock Equity Fund
DSP Equity (Venktesh),DSP BlackRock Equity Fund
DSP Liquidity Fund Inst,DSP Liquidity Fund 
DSP MM G,DSP BlackRock Money Manager Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
DSP Short Term,DSP BlackRock Short Term Fund
DSP Short Term Income,DSP Short Term Fund
DSP Top 100,DSP BlackRock Top 100 Equity Fund
DSP-BR Top 100 Equity - RP (G),DSP BlackRock Top 100 Equity Fund
Fidelity Equity (Now L& T),L & T Equity
Fidelity Tax Advantage,L & T Tax Advantage
Frankin India Flexi Cap,Franklin India Flexi Cap Fund
Franklin India Blue Chip,Franklin India Bluechip Fund
Franklin India Blue Chip Equity,Franklin India Bluechip Fund
Franklin India Blue Chip Fund - Direct (G),Franklin India Bluechip Fund
Franklin India Blue Chip Fund Dividend,Franklin India Bluechip Fund
Franklin India BlueChip,Franklin India Bluechip Fund
Franklin India Bluechip Equity,Franklin India Bluechip Fund
Franklin India Bluechip Fund-G,Franklin India Bluechip Fund
Franklin India Growth Fund,Franklin India Growth Fund
Franklin india high growth,Franklin India High Growth Companies
Franklin India Prima,Franklin India Prima Fund
Franklin Templeton Blue Chip,Franklin India Bluechip Fund
FT India Feeder Franklin US,FT India Feeder Franklin US
FT India Feeder Franklin US Opp,FT India Feeder Franklin US Opp
HDF Life Click2Protect (10 lacs),HDFC Life Click 2 Protect
HDF Life Click2Protect (30 lacs),HDFC Life Click 2 Protect
HDFC - Top 200 Fund,HDFC Top 200 Fund
HDFC Balanced Fund (D),HDFC Balanced Fund
HDFC Cash Management Treasury Advantage Ret,HDFC Cash Management Treasury Advantage Fund
HDFC Cash Management Treasury Advt,HDFC Cash Management Treasury Advantage Fund
HDFC Cash Mgmt Treasury Advtg D,HDFC Cash Management Treasury Advantage Fund
"HDFC Click 2 Protect - Cover of Rs.12,000,000",HDFC Life Click 2 Protect
HDFC Click2Protect,HDFC Life Click 2 Protect
"HDFC Click2Protect (1.05 cr) premium 22,200",HDFC Life Click 2 Protect
HDFC CMF - Treasury Advantage Plan - Retail - Gr,HDFC Cash Management Treasury Advantage Fund
Hdfc equity fund G,HDFC Equity Fund
HDFC Equity Fund- G,HDFC Equity Fund
Hdfc Equity Fund Growth,HDFC Equity Fund
HDFC Gold,HDFC Gold Fund
HDFC Hi Interest,HDFC High Interest Fund
HDFC Hi Short Term,HDFC High Interest Fund - Short Term Plan
HDFC Hi Short Term Fund,HDFC High Interest Fund - Short Term Plan
HDFC Life Click 2 Protect - (Sum Assured 1.60 cr),HDFC Life Click 2 Protect
HDFC Life Click 2 Protect - 1 cr,HDFC Life Click 2 Protect
"HDFC Life Click 2 Protect ( Sum Assured - Rs.10,00,000 )",HDFC Life Click 2 Protect
HDFC Life Click 2 Protect (Sum Assured of Rs.75 lacs),HDFC Life Click 2 Protect
"HDFC Life Click 2 Protect (Sum Asured Of Rs.35,00,000)",HDFC Life Click 2 Protect
HDFC Life Click 2 Protect.,HDFC Life Click 2 Protect
"HDFC Life Click 2 Protect. (Sum Assured Rs.10,000,000)",HDFC Life Click 2 Protect
"HDFC Life Click 2 Protect.(Sum Assured of Rs.50,00,000)",HDFC Life Click 2 Protect
HDFC Life Click2Protect,HDFC Life Click 2 Protect
HDFC Liquid Fund DDR,HDFC Liquid Fund
HDFC LT Advantage,HDFC Long Term Advantage Fund
HDFC Mid Cap Opportunities,HDFC Mid-Cap Opportunities Fund
HDFC Mid Cap Opportunities (G),HDFC Mid-Cap Opportunities Fund
hdfc tax saver G,HDFC Tax Saver
HDFC Top 200,HDFC Top 200 Fund
HDFC TOP 200 (D),HDFC Top 200 Fund
HDFC Top 200 (G),HDFC Top 200 Fund
HDFC Top 200 (Sahana),HDFC Top 200 Fund
HDFC Top 200 (Venkatesh),HDFC Top 200 Fund
HDFC Top 200 Dividend,HDFC Top 200 Fund
Hdfc Top 200 Fund,HDFC Top 200 Fund
HDFC Top 200 Fund - G,HDFC Top 200 Fund
HDFC Top 200 Fund (G),HDFC Top 200 Fund
HDFC Top 200 Fund (G) DIRECT,HDFC Top 200 Fund
HDFC Top 200 Fund (Sahana),HDFC Top 200 Fund
HDFC Top 200 Fund D,HDFC Top 200 Fund
Hdfc top 200 fund G,HDFC Top 200 Fund
HDFC Top 200 Fund-G,HDFC Top 200 Fund
ICICI Discovery Fund,ICICI Discovery
ICICI Dynamic,ICICI Dynamic Plan
ICICI Focused Blue Chip Equity,ICICI Prudential Focused Blue chip Fund
ICICI Focused Bluechip Equity,ICICI Blue Chip Fund Growth
ICICI Focused Bluechip Fund,ICICI Prudential Focused Blue chip Fund
ICICI Pru Child Care Gift,ICICI Pru Child Care Gift
ICICI Pru Discovery,ICICI Discovery
Icici pru discovery fund Growth,ICICI Discovery
ICICI Pru Eq Volatility Adv Plan Direct (G),ICICI Pru Equity Volatility Advantage Fund
ICICI Pru Focused Bluechip Eq,ICICI Prudential Focused Blue chip Fund
ICICI Pru Focussed Blue Chip,ICICI Blue Chip Fund Growth
ICICI Pru Focussed Blue Chip Eq Direct (G),ICICI Prudential Focused Blue chip Fund
ICICI Pru Income Fund,ICICI Prudential Income Regular
ICICI Pru Regular Savings Fund,ICICI Prudential Regular Savings
ICICI Pru Tax Plan (G),ICICI Prudential Tax Plan
ICICI Pru Top 200,ICICI Prudential Top 100 Reg
ICICI Prudential Dynamic Plan - G,ICICI Pru Dynamic Bond
ICICI Prudential Flexible Income Regular,ICICI Pru Flexible Income
ICICI Prudential Focused Bluechip Equity Fund -G,ICICI Prudential Focused Blue chip Fund
ICICI Prudential Fusion Fund Series II,ICICI Pru Fusion Fund
ICICI Prudential Regular Gold Savings,ICICI Prudential Regular Gold Savings Fund
ICICI Prudential Regular Gold Savings Fund,ICICI Prudential Regular Gold Savings Fund
ICICI Prudential Short Term,ICICI Prudential Short Term
ICICI Prudential Short Term Fund,ICICI Prudential Short Term
ICICI Prudential Short Term Income Fund,ICICI Prudential Short Term
IDFC - Premier Equity Fund,IDFC Premier Equity Fund - Plan A
IDFC Equity Fund Plan A- G,IDFC Premier Equity Fund - Plan A
IDFC MM TPA DD- 117482/52,IDFC Money Manager Fund - Treasury Plan A
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
IDFC MM Treasury A DDR,IDFC Money Manager Fund - Treasury Plan A
IDFC Money Manager Treasury A,IDFC Money Manager Fund - Treasury Plan A
IDFC Money Manger,IDFC Money Manager Fund - Treasury Plan A
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
IDFC Premier Equity Fund,IDFC Premier Equity Fund - Plan A
IDFCMoney Manager,IDFC Money Manager Fund - Treasury Plan A
Kotak 50 (G),Kotak 50
Kotak 50 Direct,Kotak 50
Kotak Bond Fund,Kotak Bond
Kotak Gold Fund,Kotak Gold
Kotak Tax Saver (G),TestTest
L & T Tax Adv. Fund (G),L & T Tax Advantage
L&T equity fund,L & T Equity
L&T indo asia fund D,L & T Indo Asia
L&T Tax Advantage,L & T Tax Advantage
Max Bup Critical Illness,Max Buppa Critical Illness Cover
Max Bupa Critical Illness,Max Buppa Critical Illness Cover
Mirae Asset India Opportunities (Direct),Mirae Asset India Opp Fund
Mirare Asset India Opportunities,Mirae Asset India Opp Fund
Prameica Equity,Pramerica Equity Fund
Prameirca Short Term Income Fund,Pramerica Short Term Income Fund
Pramerica Equity,Pramerica Equity Fund
Pramerica Equity/Axis Equity,Pramerica Equity Fund
Pramerica Short Term,Pramerica Short Term Income Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Pramerica Short Term Income Bond Fund,Pramerica Short Term Income Fund
Pramerica Ultra Short Term,Pramerica Ultra Short Term Bond Fund
Pramerica Ultra Short Term Bond,Pramerica Ultra Short Term Bond Fund
Pramerica Ultra Short Term Fund,Pramerica Ultra Short Term Bond Fund
PRINCIPAL Tax Saving,Principal Tax Savings
Relaince Banking Fund,Reliance Banking
Reliance - Gold Savings Fund,Reliance Gold Savings Fund
Reliance Banking Fund,Reliance Banking
Reliance Equities Opportunities,Reliance Equity Opportunities Fund
Reliance Equities Opportunity,Reliance Equity Opportunities Fund
Reliance Equity Opportunities,Reliance Equity Opportunities Fund
Reliance Equity Opportunities (Sahana),Reliance Equity Opportunities Fund
Reliance Equity Opportunities Fund,Reliance Equity Opportunities Fund
Reliance Equity Opportunities Fund - Retail Plan,Reliance Equity Opportunities Fund
Reliance equity opportunities fund G,Reliance Equity Opportunities Fund
Reliance Equity Opportunities Fund-G,Reliance Equity Opportunities Fund
Reliance Equity Opportunity Fund,Reliance Equity Opportunities Fund
Reliance Gold,Reliance Gold Savings Fund
Reliance Gold Savings,Reliance Gold Savings Fund
Reliance gold savings fund G,Reliance Gold Savings Fund
Reliance Gold Savings Fund/ Gold ETF,Reliance Gold Savings Fund
Reliance Growth,Reliance Growth Fund - Retail Plan
Reliance Growth Fund - G,Reliance Growth Fund - Retail Plan
Reliance Liquid Fund,Reliance Liquid Fund - Cash Plan
Reliance Medium Term Fund,Reliance Medium Term Fund
Reliance MIP,Reliance Monthly Income Plan
Reliance Money Manager,Reliance Money Manager Fund - Retail Plan
Reliance Money Manager Fund,Reliance Money Manager Fund - Retail Plan
Reliance Money Manager MDR,Reliance Money Manager Fund - Retail Plan
Reliance Natural Resource,Reliance Natural Resources Fund
Reliance Regular Savings,Reliance Regular Savings Equity Fund
Reliance Regular Savings Fund,Reliance Regular Savings Equity Fund
Reliance Regular Savings Fund - Equity,Reliance Regular Savings Equity Fund
Reliance Regular Savings Fund-Equity,Reliance Regular Savings Equity Fund
Reliance Tax Saver (G),Reliance Tax Saver (ELSS) Fund
Reliance Top 200,Reliance Top 200
Reliance Ultra Short Term,Reliance Short-term
Religare Invesco Credit Opportunities Fund,Religare Invesco Credit Opportunities Fund
Religare Tax Plan (G,Religare Invesco Tax Plan
Saving A/c,Savings Account
Saving Account,Savings Account
Saving Banck A/c,Savings Account
Saving Bank A/c,Savings Account
Saving Bank Account,Savings Account
Savings a/c,Savings Account
Saving's A/c,Savings Account
Savings account,Savings Account
Savings Bank Account,Savings Account
SBI Bluechip,SBI Bluechip Fund
SBI Emerging Business,SBI Emerging Business Fund
SBI Magnum Global,SBI Magnum Global Fund
SBI Magnum Income Fund,SBI Magnum Income Fund
SBI Tax Gain Scheme (G),SBI Magnum Tax Gain
Sundaram Select Mid Cap Fund,Sundaram Select Mid Cap
Sundaram Select Mid Cap Fund (Sahana),Sundaram Select Mid Cap
Sundaram Tax Saver,Sundaram Tax Saver
Sundaram Tax Saver (G),Sundaram Tax Saver
Tata Pure Equity Fund (G),Tata Pure Equity
Templeton India Treasury Mgmt D,Templeton India Treasury Management Account - Regular Plan
UTI CGF Fund,UTI CGF Fund
UTI India Life Style Fund,UTI India Life Style Fund
UTI Opportunities Fund,UTI Opportunities
UTI Opportunities Fund - Dividend Plan,UTI Opportunities
UTI Opportunities Fund - Dividend Plan - Direct Plan,UTI Opportunities
UTI Opportunities Fund - Growth,UTI Opportunities
