Action_Plan_Product_Name__c	Product_Name__c
Axis Long Term Equity Fund	Axis Long Term Equity Fund
Axis Long Term Equity Fund - Gr	Axis Long Term Equity Fund
Axis - Triple Advantage Fund (G) [Folio:9047650533]	Axis Triple Advantage Fund
Axis - Triple Advantage Fund (G) [Folio:9048051712]	Axis Triple Advantage Fund
Axis - Triple Advantage Fund (G)[Folio:9048144856]	Axis Triple Advantage Fund
Axis Triple Advantage	Axis Triple Advantage Fund
Axis Triple Advantage Fund (G) (4)	Axis Triple Advantage Fund
Axis Triple Advantage Funds	Axis Triple Advantage Fund
Axis Triple Advanatage Fund 	Axis Triple Advantage Fund
Bajaj Allianz  Critical Illness	Bajaj Allianz Critical Care Policy
Bajaj Allianz Critical Illness	Bajaj Allianz Critical Care Policy
Critical Illness Cover	Bajaj Allianz Critical Care Policy
Bajaj Allianz Extra Care Cover	Bajaj Allianz Extra Care
Bajaj Allianz Premium Personal Guard	Bajaj Allianz Premier Personal Guard
Birla SL - Dividend Yield Plus (G) [Folio:1015592212]	Birla Sun Life Dividend Yield Plus
Birla SL - Dividend Yield Plus (G) [Folio:1016061183]	Birla Sun Life Dividend Yield Plus
Birla SL Dividend Yield (G) (13)	Birla Sun Life Dividend Yield Plus
Bajaj Allianz Health Guard 	Bajaj Allianz Health Guard 
Bajaj Allianz Critical Illness Cover 	Bajaj Allianz Critical Illness Cover 
