Action_Plan_Product_Name__c,Product_Name__c
Axis Long Term Equity Fund,Axis Long Term Equity Fund
Axis Long Term Equity Fund - Gr,Axis Long Term Equity Fund
Axis - Triple Advantage Fund (G) [Folio:9047650533],Axis Triple Advantage Fund
Axis - Triple Advantage Fund (G) [Folio:9048051712],Axis Triple Advantage Fund
Axis - Triple Advantage Fund (G)[Folio:9048144856],Axis Triple Advantage Fund
Axis Triple Advantage,Axis Triple Advantage Fund
Axis Triple Advantage Fund (G) (4),Axis Triple Advantage Fund
Axis Triple Advantage Funds,Axis Triple Advantage Fund
Bajaj Allianz  Critical Illness,Bajaj Allianz Critical Care Policy
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Care Policy
Critical Illness Cover,Bajaj Allianz Critical Care Policy
Bajaj Allianz Extra Care Cover,Bajaj Allianz Extra Care
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Birla SL - Dividend Yield Plus (G) [Folio:1015592212],Birla Sun Life Dividend Yield Plus
Birla SL - Dividend Yield Plus (G) [Folio:1016061183],Birla Sun Life Dividend Yield Plus
Birla SL Dividend Yield (G) (13),Birla Sun Life Dividend Yield Plus
BSL Savings Div Yield,Birla Sun Life Dividend Yield Plus
Birla SL - DBF Ret (G) [Folio:1015789743],Birla Sun Life Dynamic Bond Fund
Birla SL - DBF Ret (G) [Folio:1015942109],Birla Sun Life Dynamic Bond Fund
Birla SL - DBF Ret (G) [Folio:1016087517],Birla Sun Life Dynamic Bond Fund
Birla SL - DBF Ret (G) [Folio:1016141304],Birla Sun Life Dynamic Bond Fund
Birla SL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Birla Sun Life Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BLS Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Bond Fund G - Folio:1015842028,Birla Sun Life Dynamic Bond Fund
BSL Dynamic Gr,Birla Sun Life Dynamic Bond Fund
Birla Frontilne,Birla Sun Life Frontline Equity Fund
Birla Frontline Equity,Birla Sun Life Frontline Equity Fund
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
Birla SL Frontline Equity -A (G) (26),Birla Sun Life Frontline Equity Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Frontline Equity Fund,Birla Sun Life Frontline Equity Fund
Birla Sun Life Midcap Fund -A (G) (11),Birla Sun Life MidCap Fund
Birla SL - Savings Fund Reg (D) (D) [Folio:1016087517],Birla Sun Life Savings Fund
Birla SL Savings,Birla Sun Life Savings Fund
Birla SL Savings Fund,Birla Sun Life Savings Fund
BSL Savings,Birla Sun Life Savings Fund
BSL Savings Fund,Birla Sun Life Savings Fund
