EXECUTED_PRODUCT_NAME__C,PRODUCT_NAME__C
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
IDFC MM treasury A,IDFC Money Manager Fund - Treasury Plan A
HDFC Hi Short Term,HDFC High Interest Fund - Short Term Plan
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Reliance gold Savings,Reliance Gold Savings Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Reliance Gold Savings,Reliance Gold Savings Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Pramerica Equity,Pramerica Equity Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
Pramerica Equity,Pramerica Equity Fund
DSP Equity,DSP BlackRock Equity Fund
ICICI Focused Bluechip Equity,ICICI Blue Chip Fund Growth
IDFC Dynamic,ICICI Dynamic Plan
Gold ETF,HDFC Gold Fund
DSP Money Manager,DSP BlackRock Money Manager Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
IDFC Dynamic Bond,IDFC Dynamic Bond Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
IDFC Dynamic Bond,IDFC Dynamic Bond Fund
Gold ETF,HDFC Gold Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund
DSP Equity,DSP BlackRock Equity Fund
Gold ETF,HDFC Gold Fund
