ACTIVE__C	MAX_YEAR_VALUE__C	MIN_YEAR_VALUE__C	PRODUCT__C	TRAIL_COMMISSION__C	UPFRONT_COMMISSION__C
true	0	0	a342000000005T5AAI	0	0
true	0	0	a342000000005T6AAI	0	0
true	0	0	a342000000005T7AAI	0	0
true	0	0	a342000000005T8AAI	0	0
true	0	0	a342000000005T9AAI	0	0
true	0	0	a342000000005TAAAY	0	0
true	0	0	a342000000005TBAAY	0	0
true	0	0	a342000000005TCAAY	0	0
true	0	0	a342000000005TDAAY	0	0
true	0	0	a342000000005TEAAY	0	0
true	0	0	a342000000005TFAAY	0	0
true	0	0	a342000000005TGAAY	0	0
true	0	0	a342000000005THAAY	0	0
true	0	0	a342000000005TIAAY	0	0
true	0	0	a342000000005TJAAY	0	0
true	0	0	a342000000005TKAAY	0	0
true	0	0	a342000000005TLAAY	0	0
true	0	0	a342000000005TMAAY	0	0
true	0	0	a342000000005TNAAY	0	0
true	0	0	a342000000005TOAAY	0	0
true	0	0	a342000000005TPAAY	0	0
true	0	0	a342000000005TQAAY	0	0
true	0	0	a342000000005TRAAY	0	0
true	0	0	a342000000005TSAAY	0	0
true	0	0	a342000000005TTAAY	0	0
true	0	0	a342000000005TUAAY	0	0
true	0	0	a342000000005TVAAY	0	0
true	0	0	a342000000005TWAAY	0	0
true	0	0	a342000000005TXAAY	0	0
true	0	0	a342000000005TYAAY	0	0
true	0	0	a342000000005TZAAY	0	0
true	0	0	a342000000005TaAAI	0	0
true	0	0	a342000000005TbAAI	0	0
true	0	0	a342000000005TcAAI	0	0
true	0	0	a342000000005TdAAI	0	0
true	0	0	a342000000005TeAAI	0	0
true	0	0	a342000000005TfAAI	0	0
true	0	0	a342000000005TgAAI	0	0
true	0	0	a342000000005ThAAI	0	0
true	0	0	a342000000005TiAAI	0	0
true	0	0	a342000000005TjAAI	0	0
true	0	0	a342000000005TkAAI	0	0
true	0	0	a342000000005TlAAI	0	0
true	0	0	a342000000005TmAAI	0	0
true	0	0	a342000000005TnAAI	0	0
true	0	0	a342000000005ToAAI	0	0
true	0	0	a342000000005TpAAI	0	0
true	0	0	a342000000005TqAAI	0	0
true	0	0	a342000000005TrAAI	0	0
true	0	0	a342000000005TsAAI	0	0
true	0	0	a342000000005TtAAI	0	0
true	0	0	a342000000005TuAAI	0	0
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
true	0	0	a342000000005RRAAY	0	0
true	0	0	a342000000005RSAAY	0	0
true	0	0	a342000000005RTAAY	0	0
true	0	0	a342000000005RUAAY	0	0
true	0	0	a342000000005RVAAY	0	0
true	0	0	a342000000005RWAAY	0	0
true	0	0	a342000000005RXAAY	0	0
true	0	0	a342000000005RYAAY	0	0
true	0	0	a342000000005RZAAY	0	0
true	0	0	a342000000005RaAAI	0	0
true	0	0	a342000000005RbAAI	0	0
true	0	0	a342000000005RcAAI	0	0
true	0	0	a342000000005RdAAI	0	0
true	0	0	a342000000005ReAAI	0	0
true	0	0	a342000000005RfAAI	0	0
true	0	0	a342000000005RgAAI	0	0
true	0	0	a342000000005RhAAI	0	0
true	0	0	a342000000005RiAAI	0	0
