PRODUCT_NAME__C,PRODUCTTYPE__C,RECORDTYPEID,PRODUCT_MANUFACTURER__C,IS_ACTIVE__C
Axis Dynamic Bond,Mutual Fund,01220000000638OAAQ,a33200000000BbFAAU,TRUE
Birla FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
Birla Sun Life Cash Manager,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
Birla Sun Life India Gennext,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
Birla Sun Life MNC,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
Birla Sun Life Short Term,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
Birla Sun Life Tax Relief 96,Mutual Fund,01220000000638OAAQ,a33200000000BbDAAU,TRUE
BNP Paribas Equity,Mutual Fund,01220000000638OAAQ,a33200000000BbfAAE,TRUE
Canara Robeco Equity Diversified Regular,Mutual Fund,01220000000638OAAQ,a33200000000BbgAAE,TRUE
Canara Robeco Equity Taxsaver Regular,Mutual Fund,01220000000638OAAQ,a33200000000BbgAAE,TRUE
DSPBR Dual Advantage,Mutual Fund,01220000000638OAAQ,a33200000000BbhAAE,TRUE
DWS FMP/FTP,Mutual Fund,01220000000638OAAQ,a33200000000BbiAAE,TRUE
DWS Tax Saving,Mutual Fund,01220000000638OAAQ,a33200000000BbiAAE,TRUE
Fixed Deposit,Mutual Fund,01220000000638OAAQ,a33200000000BbjAAE,TRUE
Franklin India High Growth Companies,Mutual Fund,01220000000638OAAQ,a33200000000BbHAAU,TRUE
HDFC FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbkAAE,TRUE
HSBC Brazil,Mutual Fund,01220000000638OAAQ,a33200000000BblAAE,TRUE
HSBC India Opportunities,Mutual Fund,01220000000638OAAQ,a33200000000BblAAE,TRUE
ICICI FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbUAAU,TRUE
ICICI Lombard Personal Accident Cover,General Insurance,01220000000638EAAQ,a33200000000BbUAAU,TRUE
ICICI Prudential Balanced Reg,Mutual Fund,01220000000638OAAQ,a33200000000BbIAAU,TRUE
ICICI Prudential Capital Protection,Mutual Fund,01220000000638OAAQ,a33200000000BbIAAU,TRUE
ICICI Prudential Income Regular,Mutual Fund,01220000000638OAAQ,a33200000000BbIAAU,TRUE
ICICI Prudential Top 100 Reg,Mutual Fund,01220000000638OAAQ,a33200000000BbIAAU,TRUE
ICICI Prudential Ultra Short Term Reg,Mutual Fund,01220000000638OAAQ,a33200000000BbIAAU,TRUE
IDBI Gold,Mutual Fund,01220000000638OAAQ,a33200000000BbmAAE,TRUE
IDBI Nifty Index,Mutual Fund,01220000000638OAAQ,a33200000000BbmAAE,TRUE
IDFC FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbGAAU,TRUE
IDFC Monthly Income Plan Regular,Mutual Fund,01220000000638OAAQ,a33200000000BbGAAU,TRUE
IDFC SSI Short Term Regular,Mutual Fund,01220000000638OAAQ,a33200000000BbGAAU,TRUE
JP Morgan ASEAN Equity Off Shore,Mutual Fund,01220000000638OAAQ,a33200000000BbnAAE,TRUE
Kotak 50,Mutual Fund,01220000000638OAAQ,a33200000000BbJAAU,TRUE
Kotak FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbJAAU,TRUE
Kotak Gold,Mutual Fund,01220000000638OAAQ,a33200000000BbJAAU,TRUE
Kotak Select Focus,Mutual Fund,01220000000638OAAQ,a33200000000BbJAAU,TRUE
L & T Equity,Mutual Fund,01220000000638OAAQ,a33200000000BbKAAU,TRUE
L & T FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbKAAU,TRUE
L & T India Special Situations Fund,Mutual Fund,01220000000638OAAQ,a33200000000BbKAAU,TRUE
L & T Indo Asia,Mutual Fund,01220000000638OAAQ,a33200000000BbKAAU,TRUE
L & T Tax Advantage,Mutual Fund,01220000000638OAAQ,a33200000000BbKAAU,TRUE
Principal Large Cap,Mutual Fund,01220000000638OAAQ,a33200000000BbLAAU,TRUE
Principal Tax Savings,Mutual Fund,01220000000638OAAQ,a33200000000BbLAAU,TRUE
Reliance Banking,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Reliance Dual Advantage FTF,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Reliance Infrastructure,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Reliance Liquid Treasury Institutional,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Reliance Regular Savings Fund ,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Reliance Small Cap,Mutual Fund,01220000000638OAAQ,a33200000000BbMAAU,TRUE
Savings Account,Mutual Fund,01220000000638OAAQ,a33200000000BboAAE,TRUE
Templeton India FMP,Mutual Fund,01220000000638OAAQ,a33200000000BbRAAU,TRUE
Templeton India Income Opportunities,Mutual Fund,01220000000638OAAQ,a33200000000BbRAAU,TRUE
UTI Gold,Mutual Fund,01220000000638OAAQ,a33200000000BbSAAU,TRUE
