ID	NAME	CREATEDDATE	PRODUCTTYPE__C	PRODUCT_NAME__C
a34200000000334AAA	PRD-000000	2013-01-19T13:45:58.000Z	Mutual Fund	HDFC Top 200
a34200000000335AAA	PRD-000001	2013-01-19T13:45:58.000Z	Mutual Fund	HDFC Prudence
a34200000000336AAA	PRD-000002	2013-01-19T13:45:58.000Z	Life Insurance	HDFC Click 2 Protect
a34200000000337AAA	PRD-000003	2013-01-19T13:45:58.000Z	Life Insurance	HDFC Term Assurance Plan
a34200000000338AAA	PRD-000004	2013-01-19T13:45:58.000Z	Mutual Fund	SBI Magnum Tax Gain
a34200000000339AAA	PRD-000005	2013-01-19T13:45:58.000Z	Mutual Fund	SBI BLUE CHIP FUND
a3420000000033AAAQ	PRD-000006	2013-01-19T13:45:58.000Z	Mutual Fund	IDFC Premier Equity Fund
a3420000000033BAAQ	PRD-000007	2013-01-19T13:45:58.000Z	Mutual Fund	IDFC Equity Fund - Plan A
a3420000000033CAAQ	PRD-000008	2013-01-19T13:45:58.000Z	Life Insurance	ICICI Pru iCare Term Insurance Plans
a3420000000033DAAQ	PRD-000009	2013-01-19T13:45:58.000Z	Life Insurance	ICICI Pru ClaimCare
a3420000000033EAAQ	PRD-000010	2013-01-19T13:45:58.000Z	General Insurance	Optima Restore Individual
a342000000005PmAAI	PRD-007614	2013-06-19T10:24:01.000Z		Test Product
a342000000005PrAAI	PRD-007615	2013-06-19T10:29:47.000Z		Test Product 2 -19 June
