ID,NAME,RECORDTYPEID,PRODUCT_NAME__C,PRODUCTTYPE__C,PRODUCT_MANUFACTURER__C,IS_ACTIVE__C,INVESTMENT_TYPE__C,IS_RECOMMENDED__C
a1RW000000015i8MAA,PRD-002899,012W00000004QVmIAM,Axis Equity Fund,Mutual Fund,a1QW00000001FvAMAU,true,SIP,TRUE
a1RW000000015gBMAQ,PRD-002828,012W00000004QVmIAM,Axis Gold ETF Growth,Mutual Fund,a1QW00000001FvAMAU,true,Lumpsum,TRUE
a1RW000000015gCMAQ,PRD-002829,012W00000004QVmIAM,Axis Money Manager Fund,Mutual Fund,a1QW00000001FvAMAU,true,Lumpsum,TRUE
a1RW000000015gDMAQ,PRD-002830,012W00000004QVmIAM,Axis Treasury Advantage Fund,Mutual Fund,a1QW00000001FvAMAU,true,Lumpsum,TRUE
a1RW000000015i9MAA,PRD-002900,012W00000004QVmIAM,AXIS Treasury Advantage Fund,Mutual Fund,a1QW00000001FvAMAU,true,SIP,TRUE
a1RW000000015iAMAQ,PRD-002901,012W00000004QVmIAM,Axis Triple Advantage Fund,Mutual Fund,a1QW00000001FvAMAU,true,SIP,TRUE
a1RW000000015iBMAQ,PRD-002902,012W00000004QVmIAM,Birla Sun Life Dividend Yield Plus - Growth,Mutual Fund,a1QW00000001FuOMAU,true,SIP,TRUE
a1RW000000015gGMAQ,PRD-002833,012W00000004QVmIAM,Birla Sun Life Dynamic Bond Fund,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015gIMAQ,PRD-002835,012W00000004QVmIAM,Birla Sun Life Frontline Equity Fund,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015gJMAQ,PRD-002836,012W00000004QVmIAM,Birla Sun Life Gold Fund,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015iEMAQ,PRD-002905,012W00000004QVmIAM,Birla Sun Life Infrastructure Fund,Mutual Fund,a1QW00000001FuOMAU,true,SIP,TRUE
a1RW000000015gKMAQ,PRD-002837,012W00000004QVmIAM,Birla Sun Life Medium Term Plan,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015gLMAQ,PRD-002838,012W00000004QVmIAM,Birla Sun Life MidCap Fund,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015gMMAQ,PRD-002839,012W00000004QVmIAM,Birla Sun Life Savings Fund,Mutual Fund,a1QW00000001FuOMAU,true,Lumpsum,TRUE
a1RW000000015iJMAQ,PRD-002910,012W00000004QVmIAM,DSP BlackRock Equity Fund,Mutual Fund,a1QW00000001FvBMAU,true,SIP,TRUE
a1RW000000015gNMAQ,PRD-002840,012W00000004QVmIAM,DSP BlackRock Equity Fund - Regular Plan,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015gSMAQ,PRD-002845,012W00000004QVmIAM,DSP BlackRock Income Opportunities Fund,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015iIMAQ,PRD-002909,012W00000004QVmIAM,DSP BlackRock Micro Cap Fund,Mutual Fund,a1QW00000001FvBMAU,true,SIP,TRUE
a1RW000000015iMMAQ,PRD-002913,012W00000004QVmIAM,DSP BlackRock Money Manager Fund,Mutual Fund,a1QW00000001FvBMAU,true,SIP,TRUE
a1RW000000015gQMAQ,PRD-002843,012W00000004QVmIAM,DSP BlackRock Opportunities Fund,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015gTMAQ,PRD-002846,012W00000004QVmIAM,DSP BlackRock Short Term Fund,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015iNMAQ,PRD-002914,012W00000004QVmIAM,DSP BlackRock Small and Mid Cap Fund,Mutual Fund,a1QW00000001FvBMAU,true,SIP,TRUE
a1RW000000015gOMAQ,PRD-002841,012W00000004QVmIAM,DSP BlackRock Tax Saver Fund,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015gVMAQ,PRD-002848,012W00000004QVmIAM,DSP BlackRock Top 100 Equity Fund,Mutual Fund,a1QW00000001FvBMAU,true,Lumpsum,TRUE
a1RW000000015gXMAQ,PRD-002850,012W00000004QVmIAM,Franklin India Bluechip Fund,Mutual Fund,a1QW00000001FvCMAU,true,Lumpsum,TRUE
a1RW000000015gYMAQ,PRD-002851,012W00000004QVmIAM,Franklin India Flexi Cap Fund,Mutual Fund,a1QW00000001FvCMAU,true,Lumpsum,TRUE
a1RW000000015gZMAQ,PRD-002852,012W00000004QVmIAM,Franklin India Prima Fund,Mutual Fund,a1QW00000001FvCMAU,true,Lumpsum,TRUE
a1RW000000015gaMAA,PRD-002853,012W00000004QVmIAM,Franklin India Tax Shield,Mutual Fund,a1QW00000001FvCMAU,true,Lumpsum,TRUE
a1RW000000015gbMAA,PRD-002854,012W00000004QVmIAM,HDFC Balanced Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015iPMAQ,PRD-002916,012W00000004QVmIAM,HDFC Cash Management Treasury Advantage Fund,Mutual Fund,a1QW00000001FvLMAU,true,SIP,TRUE
a1RW000000015gdMAA,PRD-002856,012W00000004QVmIAM,HDFC Equity Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015hJMAQ,PRD-002898,012W00000004QVmIAM,HDFC Gold Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015geMAA,PRD-002857,012W00000004QVmIAM,HDFC Growth Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015gfMAA,PRD-002858,012W00000004QVmIAM,HDFC High Interest Fund - Short Term Plan,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015ggMAA,PRD-002859,012W00000004QVmIAM,HDFC Index Fund - Sensex Plus Plan,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015ghMAA,PRD-002860,012W00000004QVmIAM,HDFC Liquid Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015giMAA,PRD-002861,012W00000004QVmIAM,HDFC Long Term Advantage Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015gjMAA,PRD-002862,012W00000004QVmIAM,HDFC Mid-Cap Opportunities Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015gkMAA,PRD-002863,012W00000004QVmIAM,HDFC Monthly Income Plan - Long Term Plan,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015iTMAQ,PRD-002920,012W00000004QVmIAM,HDFC Monthly Income Plan - Short Term Plan,Mutual Fund,a1QW00000001FvLMAU,true,SIP,TRUE
a1RW000000015glMAA,PRD-002864,012W00000004QVmIAM,HDFC Multiple Yield Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015gmMAA,PRD-002865,012W00000004QVmIAM,HDFC Prudence Fund,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015gnMAA,PRD-002866,012W00000004QVmIAM,HDFC Tax Saver,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015goMAA,PRD-002867,012W00000004QVmIAM,HDFC Top 200,Mutual Fund,a1QW00000001FvLMAU,true,Lumpsum,TRUE
a1RW000000015iVMAQ,PRD-002922,012W00000004QVmIAM,HDFC Top 200 Fund,Mutual Fund,a1QW00000001FvLMAU,true,SIP,TRUE
a1RW000000015gpMAA,PRD-002868,012W00000004QVmIAM,ICICI Blue Chip Fund Growth,Mutual Fund,a1QW00000001FvPMAU,true,Lumpsum,TRUE
a1RW000000015gqMAA,PRD-002869,012W00000004QVmIAM,ICICI Discovery,Mutual Fund,a1QW00000001FvPMAU,true,Lumpsum,TRUE
a1RW000000015grMAA,PRD-002870,012W00000004QVmIAM,ICICI Flexi Income Fund,Mutual Fund,a1QW00000001FvPMAU,true,Lumpsum,TRUE
a1RW000000015iWMAQ,PRD-002923,012W00000004QVmIAM,ICICI Health Care Plus,Mutual Fund,a1QW00000001FvPMAU,true,SIP,TRUE
a1RW000000015gsMAA,PRD-002871,012W00000004QVmIAM,ICICI Prudential Capital Protection Oriented Fund,Mutual Fund,a1QW00000001FvPMAU,true,Lumpsum,TRUE
a1RW000000015gtMAA,PRD-002872,012W00000004QVmIAM,IDFC Dynamic Bond Fund,Mutual Fund,a1QW00000001FvDMAU,true,Lumpsum,TRUE
a1RW000000015guMAA,PRD-002873,012W00000004QVmIAM,IDFC Money Manager Fund - Treasury Plan A,Mutual Fund,a1QW00000001FvDMAU,true,Lumpsum,TRUE
