"ID","NAME","PRODUCT_NAME__C","IS_ACTIVE__C","IS_RECOMMENDED__C"
"a1RW000000015f7MAA","PRD-002800","Apollo Munich Easy Health Individual","true","false"
"a1RW000000015f8MAA","PRD-002801","Apollo Munich Optima Senior","true","false"
"a1RW000000015i8MAA","PRD-002899","Axis Equity Fund","true","false"
"a1RW000000015gAMAQ","PRD-002827","Axis Equity Fund","true","false"
"a1RW000000015gBMAQ","PRD-002828","Axis Gold ETF Growth","true","false"
"a1RW000000015gCMAQ","PRD-002829","Axis Money Manager Fund","true","false"
"a1RW000000015gDMAQ","PRD-002830","Axis Treasury Advantage Fund","true","false"
"a1RW000000015i9MAA","PRD-002900","AXIS Treasury Advantage Fund","true","false"
"a1RW000000015iAMAQ","PRD-002901","Axis Triple Advantage Fund","true","false"
"a1RW000000015gEMAQ","PRD-002831","Axis Triple Advantage Fund","true","false"
"a1RW000000015fAMAQ","PRD-002803","Bajaj Allianz Critical Care j Allianz","true","false"
"a1RW000000015fBMAQ","PRD-002804","Bajaj Allianz Critical Care Policy","true","false"
"a1RW000000015fbMAA","PRD-002822","Bajaj Allianz Critical Care Policy","true","false"
"a1RW000000015fgMAA","PRD-002823","Bajaj Allianz Critical Illness Cover","true","false"
"a1RW000000015fCMAQ","PRD-002805","Bajaj Allianz Critical Illness Cover","true","false"
"a1RW000000015flMAA","PRD-002824","Bajaj Allianz Extra Care","true","false"
"a1RW000000015fDMAQ","PRD-002806","Bajaj Allianz Extra Care","true","false"
"a1RW000000015fEMAQ","PRD-002807","Bajaj Allianz Health Guard","true","false"
"a1RW000000015f9MAA","PRD-002802","Bajaj Allianz Individual Health Guard","true","false"
"a1RW000000015fqMAA","PRD-002825","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015fFMAQ","PRD-002808","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015fvMAA","PRD-002826","Bajaj Allianz Premier Personal Guard","true","false"
"a1RW000000015iBMAQ","PRD-002902","Birla Sun Life Dividend Yield Plus - Growth","true","false"
"a1RW000000015gFMAQ","PRD-002832","Birla Sun Life Dividend Yield Plus - Growth","true","false"
"a1RW000000015gGMAQ","PRD-002833","Birla Sun Life Dynamic Bond Fund","true","false"
"a1RW000000015iCMAQ","PRD-002903","Birla Sun Life Dynamic Bond Fund","true","false"
"a1RW000000015gIMAQ","PRD-002835","Birla Sun Life Frontline Equity Fund","true","false"
"a1RW000000015iDMAQ","PRD-002904","Birla Sun Life Frontline Equity Fund","true","false"
"a1RW000000015gJMAQ","PRD-002836","Birla Sun Life Gold Fund","true","false"
"a1RW000000015iEMAQ","PRD-002905","Birla Sun Life Infrastructure Fund","true","false"
"a1RW000000015gKMAQ","PRD-002837","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015gHMAQ","PRD-002834","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015iFMAQ","PRD-002906","Birla Sun Life Medium Term Plan","true","false"
"a1RW000000015gLMAQ","PRD-002838","Birla Sun Life MidCap Fund","true","false"
"a1RW000000015gMMAQ","PRD-002839","Birla Sun Life Savings Fund","true","false"
"a1RW000000015iGMAQ","PRD-002907","Birla Sun Life Savings Fund","true","false"
"a1RW000000015eEMAQ","PRD-002746","BSLI Protector Plus Plan","true","false"
"a1RW000000010xqMAA","PRD-001887","Comprehensive Financial Planning","true","false"
"a1RW000000011bCMAQ","PRD-001896","Credit Ready Planning","true","false"
"a1RW000000011b7MAA","PRD-001895","Credit X Ray","true","false"
"a1RW000000015iJMAQ","PRD-002910","DSP BlackRock Equity Fund","true","false"
"a1RW000000015gRMAQ","PRD-002844","DSP BlackRock Equity Fund","true","false"
"a1RW000000015gNMAQ","PRD-002840","DSP BlackRock Equity Fund - Regular Plan","true","false"
"a1RW000000015iHMAQ","PRD-002908","DSP BlackRock Equity Fund - Regular Plan","true","false"
"a1RW000000015gSMAQ","PRD-002845","DSP BlackRock Income Opportunities Fund","true","false"
"a1RW000000015iIMAQ","PRD-002909","DSP BlackRock Micro Cap Fund","true","false"
"a1RW000000015gPMAQ","PRD-002842","DSP BlackRock Micro Cap Fund","true","false"
"a1RW000000015iMMAQ","PRD-002913","DSP BlackRock Money Manager Fund","true","false"
"a1RW000000015gWMAQ","PRD-002849","DSP BlackRock Money Manager Fund","true","false"
"a1RW000000015gQMAQ","PRD-002843","DSP BlackRock Opportunities Fund","true","false"
"a1RW000000015gTMAQ","PRD-002846","DSP BlackRock Short Term Fund","true","false"
"a1RW000000015iKMAQ","PRD-002911","DSP BlackRock Short Term Fund","true","false"
"a1RW000000015iNMAQ","PRD-002914","DSP BlackRock Small and Mid Cap Fund","true","false"
"a1RW000000015gUMAQ","PRD-002847","DSP BlackRock Small and Mid Cap Fund","true","false"
"a1RW000000015gOMAQ","PRD-002841","DSP BlackRock Tax Saver Fund","true","false"
"a1RW000000015gVMAQ","PRD-002848","DSP BlackRock Top 100 Equity Fund","true","false"
"a1RW000000015iLMAQ","PRD-002912","DSP BlackRock Top 100 Equity Fund","true","false"
"a1RW000000010xbMAA","PRD-001884","Dual Goal Planning","true","false"
"a1RW000000010xgMAA","PRD-001885","Early Planning for Retirement","true","false"
"a1RW000000015gXMAQ","PRD-002850","Franklin India Bluechip Fund","true","false"
"a1RW000000015gYMAQ","PRD-002851","Franklin India Flexi Cap Fund","true","false"
"a1RW000000015iOMAQ","PRD-002915","Franklin India Flexi Cap Fund","true","false"
"a1RW000000015gZMAQ","PRD-002852","Franklin India Prima Fund","true","false"
"a1RW000000015gaMAA","PRD-002853","Franklin India Tax Shield","true","false"
"a1RW000000015gbMAA","PRD-002854","HDFC Balanced Fund","true","false"
"a1RW000000015iPMAQ","PRD-002916","HDFC Cash Management Treasury Advantage Fund","true","false"
"a1RW000000015gcMAA","PRD-002855","HDFC Cash Management Treasury Advantage Fund","true","false"
"a1RW000000015gdMAA","PRD-002856","HDFC Equity Fund","true","false"
"a1RW000000015iQMAQ","PRD-002917","HDFC Equity Fund","true","false"
"a1RW000000015hJMAQ","PRD-002898","HDFC Gold Fund","true","false"
"a1RW000000015geMAA","PRD-002857","HDFC Growth Fund","true","false"
"a1RW000000015gfMAA","PRD-002858","HDFC High Interest Fund - Short Term Plan","true","false"
"a1RW000000015iRMAQ","PRD-002918","HDFC High Interest Fund - Short Term Plan","true","false"
"a1RW000000015ggMAA","PRD-002859","HDFC Index Fund - Sensex Plus Plan","true","false"
"a1RW000000015eFMAQ","PRD-002747","HDFC Life Click 2 Protect","true","false"
"a1RW000000015ghMAA","PRD-002860","HDFC Liquid Fund","true","false"
"a1RW000000015giMAA","PRD-002861","HDFC Long Term Advantage Fund","true","false"
"a1RW000000015gjMAA","PRD-002862","HDFC Mid-Cap Opportunities Fund","true","false"
"a1RW000000015iSMAQ","PRD-002919","HDFC Mid-Cap Opportunities Fund","true","false"
"a1RW000000015gkMAA","PRD-002863","HDFC Monthly Income Plan - Long Term Plan","true","false"
"a1RW000000015iTMAQ","PRD-002920","HDFC Monthly Income Plan - Short Term Plan","true","false"
"a1RW000000015glMAA","PRD-002864","HDFC Multiple Yield Fund","true","false"
"a1RW000000015gmMAA","PRD-002865","HDFC Prudence Fund","true","false"
"a1RW000000015iUMAQ","PRD-002921","HDFC Prudence Fund","true","false"
"a1RW000000015gnMAA","PRD-002866","HDFC Tax Saver","true","false"
"a1RW000000015goMAA","PRD-002867","HDFC Top 200","true","false"
