"Product__c","Min_Year_Value__c","Active__c","Upfront_Commission__c","Max_Year_Value__c","Name","Trail_Commission__c"
"a342000000005hsAAA","0.0","true","1.1","0.0","COMM-000336","0.0"
"a342000000005T5AAI","0.0","true","0.75","0.0","COMM-000448","0.5"
"a342000000005T6AAI","0.0","true","0.0","0.0","COMM-000449","0.0"
"a342000000005T7AAI","0.0","true","0.0","0.0","COMM-000450","0.5"
"a342000000005T8AAI","0.0","true","1","0.0","COMM-000451","0.5"
"a342000000005T9AAI","0.0","true","1","0.0","COMM-000452","0.5"
"a342000000005TAAAY","0.0","true","0.0","0.0","COMM-000453","0.1"
"a342000000005TBAAY","0.0","true","3.5","0.0","COMM-000454","0.0"
"a342000000005TCAAY","0.0","true","0.9","0.0","COMM-000455","0.45"
"a342000000005TDAAY","0.0","true","0.5","0.0","COMM-000456","0.6"
"a342000000005TEAAY","0.0","true","3","0.0","COMM-000457","0.0"
"a342000000005TFAAY","0.0","true","0.0","0.0","COMM-000458","0.0"
"a342000000005TGAAY","0.0","true","0.0","0.0","COMM-000459","0.0"
"a342000000005THAAY","0.0","true","2","0.0","COMM-000460","0.35"
"a342000000005TIAAY","0.0","true","0.0","0.0","COMM-000461","0.0"
"a342000000005TJAAY","0.0","true","0.0","0.0","COMM-000462","0.9"
"a342000000005TKAAY","0.0","true","0.0","0.0","COMM-000463","0.0"
"a342000000005TLAAY","0.0","true","0.5","0.0","COMM-000464","0.5"
"a342000000005TMAAY","0.0","true","0.5","0.0","COMM-000465","0.5"
"a342000000005TNAAY","0.0","true","0.0","0.0","COMM-000466","0.0"
"a342000000005TPAAY","0.0","true","0.75","0.0","COMM-000467","0.75"
"a342000000005TQAAY","0.0","true","0.0","0.0","COMM-000468","0.0"
"a342000000005TRAAY","0.0","true","1","0.0","COMM-000469","0.0"
"a342000000005TSAAY","0.0","true","0.75","0.0","COMM-000470","0.75"
"a342000000005TTAAY","0.0","true","0.0","0.0","COMM-000471","0.65"
"a342000000005TUAAY","0.0","true","0.0","0.0","COMM-000472","0.0"
"a342000000005TVAAY","0.0","true","0.4","0.0","COMM-000473","0.35"
"a342000000005TWAAY","0.0","true","0.0","0.0","COMM-000474","0.0"
"a342000000005TXAAY","0.0","true","1.75","0.0","COMM-000475","0.0"
"a342000000005TYAAY","0.0","true","0.0","0.0","COMM-000476","0.5"
"a342000000005TZAAY","0.0","true","1","0.0","COMM-000477","0.35"
"a342000000005TaAAI","0.0","true","0.5","0.0","COMM-000478","0.5"
"a342000000005TbAAI","0.0","true","0.0","0.0","COMM-000479","0.0"
"a342000000005TcAAI","0.0","true","0.5","0.0","COMM-000480","0.0"
"a342000000005TdAAI","0.0","true","0.5","0.0","COMM-000481","0.5"
"a342000000005TeAAI","0.0","true","0.75","0.0","COMM-000482","0.5"
"a342000000005TfAAI","0.0","true","0.0","0.0","COMM-000483","0.0"
"a342000000005TgAAI","0.0","true","0.75","0.0","COMM-000484","0.5"
"a342000000005ThAAI","0.0","true","0.75","0.0","COMM-000485","0.5"
"a342000000005TiAAI","0.0","true","4","0.0","COMM-000486","0.0"
"a342000000005TjAAI","0.0","true","0.9","0.0","COMM-000487","0.45"
"a342000000005TkAAI","0.0","true","3","0.0","COMM-000488","0.0"
"a342000000005TlAAI","0.0","true","0.8","0.0","COMM-000489","0.5"
"a342000000005TmAAI","0.0","true","0.0","0.0","COMM-000490","0.0"
"a342000000005TnAAI","0.0","true","0.8","0.0","COMM-000491","0.5"
"a342000000005ToAAI","0.0","true","0.0","0.0","COMM-000492","0.05"
"a342000000005TpAAI","0.0","true","1.7","0.0","COMM-000493","0.0"
"a342000000005TqAAI","0.0","true","0.8","0.0","COMM-000494","0.5"
