"Id","Entity__c","Entity_Name__c","Type__c","Executed_Product_Name__c"
"a0l200000061OOMAA2","","0012000000qXNzMAAW","General Insurance","Bajaj Allianz Premium Personal Guard"
"a0l200000061OONAA2","","0012000000qXNzMAAW","General Insurance","Bajaj Allianz Extra Care"
"a0l200000061OOOAA2","","0012000000qXNzMAAW","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061OOPAA2","","0012000000qXNzMAAW","General Insurance","Bajaj Allianz Critical Illness"
"a0l200000061OOQAA2","","0012000000qXNzMAAW","Life Insurance","HDFC Life Click 2 Protect"
"a0l200000061OORAA2","","0012000000qXNzMAAW","Lumpsum","DSP Equity Gr"
"a0l200000061OOSAA2","","0012000000qXNzMAAW","SIP","DSP Equity Gr"
"a0l200000061OOTAA2","","0012000000qXNzMAAW","Lumpsum","ICICI Focused bluechip Eq G"
"a0l200000061OOUAA2","","0012000000qXNzMAAW","SIP","ICICI Focused bluechip Eq G"
"a0l200000061OOVAA2","","0012000000qXNzMAAW","Lumpsum","IDFC MM TP A"
"a0l200000061OOWAA2","","0012000000qXNzMAAW","SIP","IDFC MM TP A"
"a0l200000061OOXAA2","","0012000000qXNzMAAW","Lumpsum","BSL Dynamic Gr"
"a0l200000061OOYAA2","","0012000000qXNzMAAW","SIP","BSL Dynamic Gr"
"a0l200000061OOZAA2","","0012000000qXNzMAAW","Lumpsum","HDFC High Interest ST"
"a0l200000061OOaAAM","","0012000000qXNzMAAW","SIP","HDFC High Interest ST"
"a0l200000061OObAAM","","0012000000qXNzMAAW","Lumpsum","IDFC Premier Equity Gr"
"a0l200000061OOcAAM","","0012000000qXNzMAAW","Lumpsum","IDFC Premier Equity Gr"
"a0l200000061OOdAAM","","0012000000qXNzMAAW","SIP","IDFC Premier Equity Gr"
"a0l200000061OOeAAM","","0012000000qXNzMAAW","Lumpsum","Reliance Gold Savings Gr"
"a0l200000061OOfAAM","","0012000000qXNzMAAW","SIP","Reliance Gold Savings Gr"
"a0l200000061OOgAAM","","0012000000qXNzMAAW","Lumpsum","Fixed Deposit"
"a0l200000061OOhAAM","","0012000000qXNzMAAW","Lumpsum","IDFC MM treasury A"
"a0l200000061OOiAAM","","0012000000qXNzMAAW","Lumpsum","HDFC Hi Short Term"
"a0l200000061OOjAAM","","0012000000qXNzMAAW","Lumpsum","BSL Dynamic"
"a0l200000061OOkAAM","","0012000000qXNzMAAW","Lumpsum","Pramerica Short Term Income"
"a0l200000061OOlAAM","","0012000000qXNzMAAW","Lumpsum","BSL Dynamic"
"a0l200000061OOmAAM","","0012000000qXNzMAAW","Lumpsum","Reliance gold Savings"
"a0l200000061OOnAAM","","0012000000qXNzMAAW","Lumpsum","ICICI Focused Blue Chip Equity"
"a0l200000061OOoAAM","","0012000000qXNzMAAW","Lumpsum","Pramerica Equity"
"a0l200000061OOpAAM","","0012000000qXNzMAAW","Lumpsum","DSP Equity"
"a0l200000061OOqAAM","","0012000000qXNzMAAW","Lumpsum","IDFC Premier Equity"
"a0l200000061OOrAAM","","0012000000qXNzMAAW","SIP","Pramerica Short Term Income"
"a0l200000061OOsAAM","","0012000000qXNzMAAW","SIP","Axis Triple Advantage"
"a0l200000061OOtAAM","","0012000000qXNzMAAW","SIP","BSL Frontline Equity"
"a0l200000061OOuAAM","","0012000000qXNzMAAW","SIP","Pramerica Equity"
"a0l200000061OOvAAM","","0012000000qXNzMAAW","SIP","DSP Equity"
"a0l200000061OOwAAM","","0012000000qXNzMAAW","SIP","IDFC Premier Equity"
"a0l200000061OOxAAM","","0012000000qXNzMAAW","SIP","BSL Dynamic"
"a0l200000061OOyAAM","","0012000000qXNzMAAW","SIP","Reliance Gold Savings"
"a0l200000061OOzAAM","","0012000000qXNzMAAW","SIP","BSL Frontline Equity"
"a0l200000061OP0AAM","","0012000000qXNzMAAW","SIP","DSP Equity"
"a0l200000061OP1AAM","","0012000000qXNzMAAW","SIP","Pramerica Equity"
"a0l200000061OP2AAM","","0012000000qXNzMAAW","SIP","BSL Dynamic"
"a0l200000061OP3AAM","","0012000000qXNzMAAW","SIP","Axis Triple Advantage"
"a0l200000061OP4AAM","","0012000000qXNzMAAW","SIP","BSL Frontline Equity"
"a0l200000061OP5AAM","","0012000000qXNzMAAW","SIP","Pramerica Equity"
"a0l200000061OP6AAM","","0012000000qXNzMAAW","SIP","DSP Equity"
"a0l200000061OP7AAM","","0012000000qXNzMAAW","SIP","IDFC Premier Equity"
"a0l200000061OP8AAM","","0012000000qXNzMAAW","SIP","ICICI Focused Bluechip Equity"
"a0l200000061PMQAA2","","0012000000yF5ZOAA0","SIP","IDFC Dynamic"
"a0l200000061PMRAA2","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMsAAM","","0012000000yF5ZOAA0","Lumpsum","DSP Money Manager"
"a0l200000061PMtAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Premier Equity"
"a0l200000061PMuAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Sterling Equity"
"a0l200000061PMvAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC MM Treasury A"
"a0l200000061PMwAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Short Term Plan"
"a0l200000061PMxAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Nifty Fund -D"
"a0l200000061PN9AAM","","0012000000yKSe7AAG","Lumpsum","IDFC Sterling Equity"
"a0l200000061PNAAA2","","0012000000yKSeCAAW","Lumpsum","IDFC Premier Equity"
"a0l200000061PMSAA2","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PMTAA2","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMUAA2","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMVAA2","","0012000000yF5ZOAA0","SIP","IDFC Dynamic Bond"
"a0l200000061PMWAA2","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMXAA2","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PM8AAM","","0012000000yF5ZOAA0","SIP","IDFC Dynamic Bond"
"a0l200000061PM9AAM","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMAAA2","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PMBAA2","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMCAA2","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMDAA2","","0012000000yF5ZOAA0","SIP","IDFC Sterling Equity"
"a0l200000061PMEAA2","","0012000000yF5ZOAA0","SIP","IDFC Dynamic Bond Fund"
"a0l200000061PMYAA2","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMZAA2","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMFAA2","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMGAA2","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PMHAA2","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMIAA2","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMyAAM","","0012000000yF5ZOAA0","Lumpsum","SSIF -Medium Term-Plan"
"a0l200000061PMzAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Money Manager Fund"
"a0l200000061PN0AAM","","0012000000yF5ZOAA0","Life Insurance","HDFC Life Click 2 protect"
"a0l200000061PMJAA2","","0012000000yF5ZOAA0","SIP","IDFC Sterling Equity"
"a0l200000061PMKAA2","","0012000000yF5ZOAA0","SIP","IDFC Dynamic Bond Fund"
"a0l200000061PMLAA2","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMMAA2","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PMNAA2","","0012000000yF5ZOAA0","SIP","IDFC Sterling Equity"
"a0l200000061PMOAA2","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMPAA2","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMaAAM","","0012000000yF5ZOAA0","SIP","IDFC Sterling Equity"
"a0l200000061PMbAAM","","0012000000yF5ZOAA0","SIP","IDFC Dynamic Bond Fund"
"a0l200000061PMcAAM","","0012000000yF5ZOAA0","SIP","Gold ETF"
"a0l200000061PMdAAM","","0012000000yF5ZOAA0","SIP","BSL Frontline Equity"
"a0l200000061PMeAAM","","0012000000yF5ZOAA0","SIP","DSP Equity"
"a0l200000061PMfAAM","","0012000000yF5ZOAA0","SIP","IDFC Sterling Equity"
"a0l200000061PMgAAM","","0012000000yF5ZOAA0","SIP","IDFC Premier Equity"
"a0l200000061PMhAAM","","0012000000yF5ZOAA0","SIP","BSL Savings"
"a0l200000061PN1AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PN2AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Critical Illness"
"a0l200000061PN3AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Premium Personal Guard"
"a0l200000061PN4AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Critical Illness"
"a0l200000061PN5AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PN6AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PN7AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Extra Care"
"a0l200000061PN8AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PMiAAM","","0012000000yF5ZOAA0","SIP","IDFC MM Treasury A"
