ID	ENTITY_NAME__C	EXECUTED_PRODUCT_NAME__C	PRODUCT_NAME__C	APPROVE_ACTION_PLAN__C	Execution Tracker	EXECUTION_TRACKER_PRODUCT__C
a0l200000061OOMAA2	0012000000qXNzMAAW	Bajaj Allianz Premium Personal Guard	Bajaj Allianz Premier Personal Guard	a31200000001eT6	ET#56221	
a0l200000061OOPAA2	0012000000qXNzMAAW	Bajaj Allianz Critical Illness	Bajaj Allianz Critical Illness Cover	a31200000001eT3	ET#56224	
a0l200000061OORAA2	0012000000qXNzMAAW	DSP Equity Gr	#N/A	a31200000001eT1	ET#56538	
a0l200000061OOSAA2	0012000000qXNzMAAW	DSP Equity Gr	#N/A	a31200000001eT1	ET#56538	
a0l200000061OOTAA2	0012000000qXNzMAAW	ICICI Focused bluechip Eq G	#N/A	a31200000001eT0	ET#56539	
a0l200000061OOUAA2	0012000000qXNzMAAW	ICICI Focused bluechip Eq G	#N/A	a31200000001eT0	ET#56539	
a0l200000061OOVAA2	0012000000qXNzMAAW	IDFC MM TP A	#N/A	a31200000001eSz	ET#56260	
a0l200000061OOXAA2	0012000000qXNzMAAW	BSL Dynamic Gr	#N/A	a31200000001eSy	ET#56261	
a0l200000061OOYAA2	0012000000qXNzMAAW	BSL Dynamic Gr	#N/A	a31200000001eSy	ET#56261	
a0l200000061OOZAA2	0012000000qXNzMAAW	HDFC High Interest ST	#N/A	a31200000001eSx	ET#56262	
a0l200000061OOcAAM	0012000000qXNzMAAW	IDFC Premier Equity Gr	#N/A	a31200000001eSv	ET#56264	
a0l200000061OOdAAM	0012000000qXNzMAAW	IDFC Premier Equity Gr	#N/A	a31200000001eSv	ET#56264	
a0l200000061OOeAAM	0012000000qXNzMAAW	Reliance Gold Savings Gr	#N/A	a31200000001eSu	ET#56265	
a0l200000061OOfAAM	0012000000qXNzMAAW	Reliance Gold Savings Gr	#N/A	a31200000001eSu	ET#56265	
a0l200000061OOhAAM	0012000000qXNzMAAW	IDFC MM treasury A	IDFC Money Manager Fund - Treasury Plan A	a31200000001eSr	ET#56242	
a0l200000061OOiAAM	0012000000qXNzMAAW	HDFC Hi Short Term	HDFC High Interest Fund - Short Term Plan	a31200000001eSq	ET#56269	
a0l200000061OOjAAM	0012000000qXNzMAAW	BSL Dynamic	Birla Sun Life Dynamic Bond Fund	a31200000001eSp	ET#56244	
a0l200000061OOkAAM	0012000000qXNzMAAW	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31200000001eSo	ET#56245	
a0l200000061OOlAAM	0012000000qXNzMAAW	BSL Dynamic	Birla Sun Life Dynamic Bond Fund	a31200000001eSn	ET#56246	
a0l200000061OOmAAM	0012000000qXNzMAAW	Reliance gold Savings	Reliance Gold Savings Fund	a31200000001eSm	ET#56247	
a0l200000061OOnAAM	0012000000qXNzMAAW	ICICI Focused Blue Chip Equity	#N/A	a31200000001eSl	ET#56248	
a0l200000061OOoAAM	0012000000qXNzMAAW	Pramerica Equity	Pramerica Equity Fund	a31200000001eSk	ET#56249	
a0l200000061OOpAAM	0012000000qXNzMAAW	DSP Equity	DSP BlackRock Equity Fund	a31200000001eSj	ET#56250	
a0l200000061OOrAAM	0012000000qXNzMAAW	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31200000001eSh	ET#56252	
a0l200000061OOsAAM	0012000000qXNzMAAW	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001eSg	ET#56253	
a0l200000061OOtAAM	0012000000qXNzMAAW	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000001eSf	ET#56254	
a0l200000061OOuAAM	0012000000qXNzMAAW	Pramerica Equity	Pramerica Equity Fund	a31200000001eSe	ET#56255	
a0l200000061OOvAAM	0012000000qXNzMAAW	DSP Equity	DSP BlackRock Equity Fund	a31200000001eSd	ET#56256	
a0l200000061OOxAAM	0012000000qXNzMAAW	BSL Dynamic	Birla Sun Life Dynamic Bond Fund	a31200000001eSb	ET#56258	
a0l200000061OOyAAM	0012000000qXNzMAAW	Reliance Gold Savings	Reliance Gold Savings Fund	a31200000001eSa	ET#56259	
a0l200000061OOzAAM	0012000000qXNzMAAW	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000001eSZ	ET#56260	
a0l200000061OP0AAM	0012000000qXNzMAAW	DSP Equity	DSP BlackRock Equity Fund	a31200000001eSY	ET#56261	
a0l200000061OP1AAM	0012000000qXNzMAAW	Pramerica Equity	Pramerica Equity Fund	a31200000001eSX	ET#56262	
a0l200000061OP2AAM	0012000000qXNzMAAW	BSL Dynamic	Birla Sun Life Dynamic Bond Fund	a31200000001eSW	ET#56263	
a0l200000061OP3AAM	0012000000qXNzMAAW	Axis Triple Advantage	Axis Triple Advanatage Fund	a31200000001eSV	ET#56264	
a0l200000061OP4AAM	0012000000qXNzMAAW	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000001eSU	ET#56265	
a0l200000061OP5AAM	0012000000qXNzMAAW	Pramerica Equity	Pramerica Equity Fund	a31200000001eST	ET#56266	
a0l200000061OP6AAM	0012000000qXNzMAAW	DSP Equity	DSP BlackRock Equity Fund	a31200000001eSS	ET#56267	
a0l200000061OP8AAM	0012000000qXNzMAAW	ICICI Focused Bluechip Equity	ICICI Blue Chip Fund Growth	a31200000001eSQ	ET#56269	
a0l200000061PMQAA2	0012000000yF5ZOAA0	IDFC Dynamic	ICICI Dynamic Plan	a31200000000Vvl	ET#56749	
a0l200000061PMRAA2	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vvm	ET#56750	
a0l200000061PMsAAM	0012000000yF5ZOAA0	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000000VwD	ET#56777	
a0l200000061PMSAA2	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vvn	ET#56751	
a0l200000061PMTAA2	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vvo	ET#56752	
a0l200000061PMVAA2	0012000000yF5ZOAA0	IDFC Dynamic Bond	IDFC Dynamic Bond Fund	a31200000000Vvq	ET#56754	
a0l200000061PMWAA2	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vvr	ET#56755	
a0l200000061PMXAA2	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vvs	ET#56756	
a0l200000061PM8AAM	0012000000yF5ZOAA0	IDFC Dynamic Bond	IDFC Dynamic Bond Fund	a31200000000VvT	ET#56731	
a0l200000061PM9AAM	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000VvU	ET#56732	
a0l200000061PMAAA2	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000VvV	ET#56733	
a0l200000061PMCAA2	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000VvX	ET#56761	
a0l200000061PMYAA2	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vvt	ET#56731	
a0l200000061PMFAA2	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vva	ET#56738	
a0l200000061PMGAA2	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vvb	ET#56739	
a0l200000061PMIAA2	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vvd	ET#56741	
a0l200000061PMLAA2	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vvg	ET#56744	
a0l200000061PMMAA2	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vvh	ET#56745	
a0l200000061PMOAA2	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vvj	ET#56747	
a0l200000061PMcAAM	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vvx	ET#56761	
a0l200000061PMdAAM	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vvy	ET#56762	
a0l200000061PMeAAM	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vvz	ET#56763	
a0l200000061PMhAAM	0012000000yF5ZOAA0	BSL Savings	Birla Sun Life Savings Fund	a31200000000Vw2	ET#56766	
a0l200000061PMiAAM	0012000000yF5ZOAA0	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31200000000Vw3	ET#56767	
a0l200000061PMjAAM	0012000000yF5ZOAA0	IDFC Dynamic Bond	IDFC Dynamic Bond Fund	a31200000000Vw4	ET#56768	
a0l200000061PMkAAM	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000Vw5	ET#56769	
