"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0l200000061OOMAA2","0012000000qXNzMAAW","Bajaj Allianz Premium Personal Guard","a31200000001eT6AAI",""
"a0l200000061OOPAA2","0012000000qXNzMAAW","Bajaj Allianz Critical Illness","a31200000001eT3AAI",""
"a0l200000061OORAA2","0012000000qXNzMAAW","DSP Equity Gr","a31200000001eT1AAI",""
"a0l200000061OOSAA2","0012000000qXNzMAAW","DSP Equity Gr","a31200000001eT1AAI",""
"a0l200000061OOTAA2","0012000000qXNzMAAW","ICICI Focused bluechip Eq G","a31200000001eT0AAI",""
"a0l200000061OOUAA2","0012000000qXNzMAAW","ICICI Focused bluechip Eq G","a31200000001eT0AAI",""
"a0l200000061OOVAA2","0012000000qXNzMAAW","IDFC MM TP A","a31200000001eSzAAI",""
"a0l200000061OOXAA2","0012000000qXNzMAAW","BSL Dynamic Gr","a31200000001eSyAAI",""
"a0l200000061OOYAA2","0012000000qXNzMAAW","BSL Dynamic Gr","a31200000001eSyAAI",""
"a0l200000061OOZAA2","0012000000qXNzMAAW","HDFC High Interest ST","a31200000001eSxAAI",""
"a0l200000061OOcAAM","0012000000qXNzMAAW","IDFC Premier Equity Gr","a31200000001eSvAAI",""
"a0l200000061OOdAAM","0012000000qXNzMAAW","IDFC Premier Equity Gr","a31200000001eSvAAI",""
"a0l200000061OOeAAM","0012000000qXNzMAAW","Reliance Gold Savings Gr","a31200000001eSuAAI",""
"a0l200000061OOfAAM","0012000000qXNzMAAW","Reliance Gold Savings Gr","a31200000001eSuAAI",""
"a0l200000061OOhAAM","0012000000qXNzMAAW","IDFC MM treasury A","a31200000001eSrAAI",""
"a0l200000061OOiAAM","0012000000qXNzMAAW","HDFC Hi Short Term","a31200000001eSqAAI",""
"a0l200000061OOjAAM","0012000000qXNzMAAW","BSL Dynamic","a31200000001eSpAAI",""
"a0l200000061OOkAAM","0012000000qXNzMAAW","Pramerica Short Term Income","a31200000001eSoAAI",""
"a0l200000061OOlAAM","0012000000qXNzMAAW","BSL Dynamic","a31200000001eSnAAI",""
"a0l200000061OOmAAM","0012000000qXNzMAAW","Reliance gold Savings","a31200000001eSmAAI",""
"a0l200000061OOnAAM","0012000000qXNzMAAW","ICICI Focused Blue Chip Equity","a31200000001eSlAAI",""
"a0l200000061OOoAAM","0012000000qXNzMAAW","Pramerica Equity","a31200000001eSkAAI",""
"a0l200000061OOpAAM","0012000000qXNzMAAW","DSP Equity","a31200000001eSjAAI",""
"a0l200000061OOrAAM","0012000000qXNzMAAW","Pramerica Short Term Income","a31200000001eShAAI",""
"a0l200000061OOsAAM","0012000000qXNzMAAW","Axis Triple Advantage","a31200000001eSgAAI",""
"a0l200000061OOtAAM","0012000000qXNzMAAW","BSL Frontline Equity","a31200000001eSfAAI",""
"a0l200000061OOuAAM","0012000000qXNzMAAW","Pramerica Equity","a31200000001eSeAAI",""
"a0l200000061OOvAAM","0012000000qXNzMAAW","DSP Equity","a31200000001eSdAAI",""
"a0l200000061OOxAAM","0012000000qXNzMAAW","BSL Dynamic","a31200000001eSbAAI",""
"a0l200000061OOyAAM","0012000000qXNzMAAW","Reliance Gold Savings","a31200000001eSaAAI",""
"a0l200000061OOzAAM","0012000000qXNzMAAW","BSL Frontline Equity","a31200000001eSZAAY",""
"a0l200000061OP0AAM","0012000000qXNzMAAW","DSP Equity","a31200000001eSYAAY",""
"a0l200000061OP1AAM","0012000000qXNzMAAW","Pramerica Equity","a31200000001eSXAAY",""
"a0l200000061OP2AAM","0012000000qXNzMAAW","BSL Dynamic","a31200000001eSWAAY",""
"a0l200000061OP3AAM","0012000000qXNzMAAW","Axis Triple Advantage","a31200000001eSVAAY",""
"a0l200000061OP4AAM","0012000000qXNzMAAW","BSL Frontline Equity","a31200000001eSUAAY",""
"a0l200000061OP5AAM","0012000000qXNzMAAW","Pramerica Equity","a31200000001eSTAAY",""
"a0l200000061OP6AAM","0012000000qXNzMAAW","DSP Equity","a31200000001eSSAAY",""
"a0l200000061OP8AAM","0012000000qXNzMAAW","ICICI Focused Bluechip Equity","a31200000001eSQAAY",""
"a0l200000061PMQAA2","0012000000yF5ZOAA0","IDFC Dynamic","a31200000000VvlAAE",""
"a0l200000061PMRAA2","0012000000yF5ZOAA0","Gold ETF","a31200000000VvmAAE",""
"a0l200000061PMsAAM","0012000000yF5ZOAA0","DSP Money Manager","a31200000000VwDAAU",""
"a0l200000061PMSAA2","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvnAAE",""
"a0l200000061PMTAA2","0012000000yF5ZOAA0","DSP Equity","a31200000000VvoAAE",""
"a0l200000061PMVAA2","0012000000yF5ZOAA0","IDFC Dynamic Bond","a31200000000VvqAAE",""
"a0l200000061PMWAA2","0012000000yF5ZOAA0","Gold ETF","a31200000000VvrAAE",""
"a0l200000061PMXAA2","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvsAAE",""
"a0l200000061PM8AAM","0012000000yF5ZOAA0","IDFC Dynamic Bond","a31200000000VvTAAU",""
"a0l200000061PM9AAM","0012000000yF5ZOAA0","Gold ETF","a31200000000VvUAAU",""
"a0l200000061PMAAA2","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvVAAU",""
"a0l200000061PMCAA2","0012000000yF5ZOAA0","DSP Equity","a31200000000VvXAAU",""
"a0l200000061PMYAA2","0012000000yF5ZOAA0","DSP Equity","a31200000000VvtAAE",""
"a0l200000061PMFAA2","0012000000yF5ZOAA0","Gold ETF","a31200000000VvaAAE",""
"a0l200000061PMGAA2","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvbAAE",""
"a0l200000061PMIAA2","0012000000yF5ZOAA0","DSP Equity","a31200000000VvdAAE",""
"a0l200000061PMLAA2","0012000000yF5ZOAA0","Gold ETF","a31200000000VvgAAE",""
"a0l200000061PMMAA2","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvhAAE",""
"a0l200000061PMOAA2","0012000000yF5ZOAA0","DSP Equity","a31200000000VvjAAE",""
"a0l200000061PMcAAM","0012000000yF5ZOAA0","Gold ETF","a31200000000VvxAAE",""
"a0l200000061PMdAAM","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000VvyAAE",""
"a0l200000061PMeAAM","0012000000yF5ZOAA0","DSP Equity","a31200000000VvzAAE",""
"a0l200000061PMhAAM","0012000000yF5ZOAA0","BSL Savings","a31200000000Vw2AAE",""
"a0l200000061PMiAAM","0012000000yF5ZOAA0","IDFC MM Treasury A","a31200000000Vw3AAE",""
"a0l200000061PMjAAM","0012000000yF5ZOAA0","IDFC Dynamic Bond","a31200000000Vw4AAE",""
"a0l200000061PMkAAM","0012000000yF5ZOAA0","Gold ETF","a31200000000Vw5AAE",""
"a0l200000061PMlAAM","0012000000yF5ZOAA0","BSL Frontline Equity","a31200000000Vw6AAE",""
"a0l200000061PMmAAM","0012000000yF5ZOAA0","DSP Equity","a31200000000Vw7AAE",""
"a0l200000061PMoAAM","0012000000yF5ZOAA0","IDFC MM Treasury A","a31200000000Vw9AAE",""
"a0l200000061PMpAAM","0012000000yF5ZOAA0","Gold ETF","a31200000000VwAAAU",""
"a0l200000061PMqAAM","0012000000yF5ZOAA0","BSL Savings","a31200000000VwBAAU",""
"a0l200000061PMrAAM","0012000000yF5ZOAA0","IDFC MM Treasury A","a31200000000VwCAAU",""
"a0lw0000008shhEAAQ","0012000000js6ucAAA","IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]","a31w000000029sWAAQ",""
"a0lw0000008shhFAAQ","0012000000js6ucAAA","IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]","a31w000000029sWAAQ",""
"a0lw0000008shhOAAQ","0012000000js6ucAAA","Birla SL - DBF Ret (G) [Folio:1015942109]","a31w000000029sdAAA",""
"a0lw0000008shhPAAQ","0012000000js6ucAAA","Birla SL - DBF Ret (G) [Folio:1015942109]","a31w000000029sdAAA",""
"a0lw0000008shhQAAQ","0012000000js6ucAAA","HDFC - Top 200 Fund - (G) [Folio:7947423/40]","a31w000000029seAAA",""
"a0lw0000008shhRAAQ","0012000000js6ucAAA","HDFC - Top 200 Fund - (G) [Folio:7947423/40]","a31w000000029seAAA",""
"a0lw0000008sfcvAAA","0012000000xDOi0AAG","Kotak Select Focus Fund ","a31200000001IxZAAU",""
"a0lw0000008sfcwAAA","0012000000xDOi0AAG","Kotak Select Focus Fund ","a31200000001IxYAAU",""
"a0l200000061BRmAAM","0012000000qAhk3AAC","ICICI Pru Focussed Blue Chip Fund","a31200000000nOWAAY",""
"a0l200000061BRnAAM","0012000000qAhk3AAC","ICICI Pru Focussed Blue Chip Fund","a31200000000nOWAAY",""
"a0l200000061BRoAAM","0012000000qAhk3AAC","ICICI Pru Flexi Income","a31200000000nOVAAY",""
"a0l200000061BRpAAM","0012000000qAhk3AAC","HDFC Tax Saver (D)","a31200000000nOTAAY",""
"a0l200000061BRrAAM","0012000000qAhk3AAC","BSL Dynamic Bond Fund","a31200000000nOQAAY",""
