"ID","ACTION_PLAN_PRODUCT_NAME__C","PRODUCT_NAME__C"
"a3N200000000129EAA","ICICI Prudential Focused Bluechip","ICICI Blue Chip Fund Growth"
"a3N20000000012AEAQ","ICICI Prudential Dynamic Plan","ICICI Dynamic Plan"
"a3N20000000012BEAQ","HSBC India Opportunities Fund","HSBC India Opportunities"
"a3N20000000012CEAQ","HSBC India Opportunities Fund (D)","HSBC India Opportunities"
"a3N20000000012DEAQ","HSBC Brazil Fund","HSBC Brazil"
"a3N20000000012EEAQ","HDFC Prudence Fund","HDFC Prudence Fund"
"a3N20000000012FEAQ","Franklin India Flexi Cap Fund","Franklin India Flexi Cap Fund"
"a3N20000000012GEAQ","Franklin India BlueChip","Franklin India Bluechip Fund"
"a3N20000000012HEAQ","DSP BlackRock Top 100 Equity Fund","DSP BlackRock Top 100 Equity Fund"
"a3N20000000012IEAQ","DSP BlackRock India Tiger Fund","DSP BlackRock T.I.G.E.R. Reg"
"a3N20000000012JEAQ","Birla Sun Life Dividend Yield Plus","Birla Sun Life Dividend Yield Plus"
"a3N20000000012KEAQ","Templeton India STIP","Templeton India Short-term Income Ret"
"a3N20000000012LEAQ","Templeton India Corporate Bond Opportunities Fund","Templeton India FMP"
"a3N20000000012MEAQ","Reliance Dual Advantage Fixed Tenure Fund","Reliance Dual Advantage FTF"
"a3N20000000012NEAQ","L&T Fixed Maturity Plan - Series VI - Plan D","L & T FMP"
"a3N20000000012OEAQ","IDFC Super Saver Income Fund - Short Term Plan A","IDFC FMP"
"a3N20000000012PEAQ","ICICI Prudential Regular Savings Fund","ICICI Prudential Regular Savings"
"a3N20000000012QEAQ","Axis Dynamic Bond Fund","Axis Dynamic Bond"
"a3N20000000012REAQ","DWS Hybrid Fixed Term Fund - Series 3 (3 Yr)","DWS FMP/FTP"
"a3N20000000012SEAQ","HDFC Cash Mgmt Fund - Treasury Advantage","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000012TEAQ","HDFC Multiple Yield Fund - Plan 2005","HDFC Multiple Yield Fund"
"a3N20000000012UEAQ","ICICI Prudential Capital Protection Oriented Fund","ICICI Prudential Capital Protection"
"a3N20000000012VEAQ","ICICI Prudential Income Fund","ICICI Prudential Income Regular"
"a3N20000000012WEAQ","Bajaj Allianz Extra Care ( For 1 member )","Bajaj Allianz Extra Care"
"a3N20000000012XEAQ","Reliance Gold Savings Fund","Reliance Gold Savings Fund"
"a3N20000000012YEAQ","ICICI Focussed Blue Chip","ICICI Blue Chip Fund Growth"
"a3N20000000012ZEAQ","Reliance Equity Opportunities","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a3N20000000012aEAA","ICICI Pru Focussed Blue Chip","ICICI Blue Chip Fund Growth"
"a3N20000000010sEAA","Bajaj Allianz Individual Health Guard","Bajaj Allianz Health Guard"
"a3N20000000010tEAA","Bajaj Allianz Premium Personal Guard","Bajaj Allianz Premier Personal Guard"
"a3N20000000010uEAA","Bajaj Allianz Critical Illness","Bajaj Allianz Critical Illness Cover"
"a3N20000000010vEAA","Bajaj Allianz Extra Care","Bajaj Allianz Extra Care"
"a3N20000000010wEAA","Birla SL Frontline Equity","Birla Sun Life Frontline Equity Fund"
"a3N20000000010xEAA","DSP Equity","DSP BlackRock Equity Fund"
"a3N20000000010yEAA","IDFC Premier Equity","IDFC Premier Equity Fund - Plan A"
"a3N20000000010zEAA","Pramerica Equity","Pramerica Equity Fund"
"a3N200000000110EAA","Axis Triple Advantage","Axis Triple Advanatage Fund"
"a3N200000000111EAA","BSL Dynamic Bond Fund","Birla Sun Life Dynamic Bond Fund"
"a3N200000000112EAA","Pramerica Short Term Income","Pramerica Short Term Income Fund"
"a3N200000000113EAA","BSL Frontline Equity","Birla Sun Life Frontline Equity Fund"
"a3N200000000114EAA","BSL Savings","Birla Sun Life Savings Fund"
"a3N200000000115EAA","Kotak 50 Equity","Kotak 50"
"a3N200000000116EAA","Birla Small & Mid Cap Fund","Birla Sun Life MidCap Fund"
"a3N200000000117EAA","HDFC Long Term Equity","HDFC Long Term Advantage Fund"
"a3N200000000118EAA","Franklin India Blue Chip Fund","Franklin India Bluechip Fund"
"a3N200000000119EAA","Axis Treasury Advantage","Axis Treasury Advantage Fund"
"a3N20000000011AEAQ","Templeton India Low Duration","Templeton India Growth"
"a3N20000000012bEAA","ICICI Focussed Blue Chip Fund","ICICI Blue Chip Fund Growth"
"a3N20000000012cEAA","BLS Savings","Birla Sun Life Savings Fund"
"a3N20000000012dEAA","Pramerica Ultra Short Term Fund","Pramerica Ultra Short Term Bond Fund"
"a3N20000000012eEAA","DSP BR Income Opportunities","DSP BlackRock Income Opportunities Fund"
"a3N20000000012fEAA","DSP Equity Fund","DSP BlackRock Equity Fund"
"a3N20000000012gEAA","Axis Triple Advantage Fund","Axis Triple Advanatage Fund"
"a3N20000000012hEAA","BSL Dynamic Fund","Birla Sun Life Dynamic Bond Fund"
"a3N20000000012iEAA","IDFC Premier Equity Fund","IDFC Premier Equity Fund - Plan A"
"a3N20000000012jEAA","IDFC Money Manager Treasury A Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000014UEAQ","Sundaram Tax Saver (G)","TestTest"
"a3N20000000014VEAQ","Dsp blackrock equity fund G","DSP BlackRock Equity Fund"
"a3N20000000014WEAQ","Hdfc equity fund G","HDFC Equity Fund"
"a3N20000000014XEAQ","Reliance equity opportunities fund G","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a3N20000000014YEAQ","Reliance gold savings fund G","Reliance Gold Savings Fund"
"a3N20000000014ZEAQ","Saving's A/c","Savings Account"
"a3N20000000014aEAA","BSL Dynamic Bond","Birla Sun Life Dynamic Bond Fund"
"a3N20000000014bEAA","Sundram Select mid cap Growth Fund","Sundaram Select Mid Cap"
"a3N20000000014cEAA","HDFC Hi Short Term Debt Fund","HDFC High Interest Fund - Short Term Plan"
"a3N20000000014dEAA","Savings Bank Account","Savings Account"
"a3N20000000014eEAA","HDFC Cash Management Treasury Adv Fund","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000014fEAA","United India","NA"
"a3N20000000014gEAA","HDFC Cash Management Treasury Advt.","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000014hEAA","DWS Hybrid FT Fund Series3 - G","DWS FMP/FTP"
"a3N20000000014iEAA","HDFC Short Term","HDFC High Interest Fund - Short Term Plan"
"a3N20000000014jEAA","ICICI regular Savings","ICICI Prudential Regular Savings"
"a3N20000000016AEAQ","ICICI Pru Discovery Fund","ICICI Discovery"
"a3N20000000016BEAQ","BSL HTP Series HH","Birla FMP"
"a3N20000000016CEAQ","IDFC FTP Series 16 Reg","IDFC FMP"
"a3N20000000016DEAQ","Sundaram Capital Protection","TestTest"
"a3N20000000016EEAQ","BSL Savings Funds","Birla Sun Life Savings Fund"
"a3N20000000016FEAQ","SBI Magnum Tax Saving","TestTest"
"a3N20000000016GEAQ","Hdfc Monthly Income Plan Long Term Fund","HDFC Monthly Income Plan - Long Term Plan"
"a3N20000000016HEAQ","Reliance Monthly Income Plan","Reliance Monthly Income Plan"
"a3N20000000016IEAQ","IDFC Premeir Equity","IDFC Premier Equity Fund - Plan A"
"a3N20000000016JEAQ","Axis Triple Advantgae Fund","Axis Triple Advanatage Fund"
"a3N20000000016KEAQ","HDFC Cash Mgt Treasury Adv Fund","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000016LEAQ","Reliance Gold Savings Fund - G","Reliance Gold Savings Fund"
"a3N20000000016MEAQ","Birla Sun Life Dividend Yield Plus - Growth","Birla Sun Life Dividend Yield Plus"
"a3N20000000016NEAQ","ICICI Prudential Focused Bluechip Equity Fund - G","ICICI Blue Chip Fund Growth"
"a3N20000000016OEAQ","ICICI Prudential Top 100 Fund - G","ICICI Prudential Top 100 Reg"
"a3N20000000016PEAQ","ICICI Prudential Discovery Fund-G","ICICI Dynamic Plan"
"a3N20000000016QEAQ","Reliance Equity Opportunities Fund - G","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a3N20000000016REAQ","IDFC Premier Equity Fund - Plan A - G","IDFC Premier Equity Fund - Plan A"
"a3N20000000016SEAQ","Sundaram Select MidCap - G","Sundaram Select Mid Cap"
"a3N20000000016TEAQ","Birla Sun Life India GenNext Fund - G","Birla Sun Life India Gennext"
"a3N20000000016UEAQ","DSP BlackRock Micro Cap Fund - G","DSP BlackRock Micro Cap Fund"
"a3N20000000016VEAQ","HDFC Mid Cap Opportunity Fund - G","HDFC Mid-Cap Opportunities Fund"
"a3N20000000016WEAQ","Birla Sun Life Dynamic Bond Fund - Retail - G","Birla Sun Life Dynamic Bond Fund"
"a3N20000000016XEAQ","SBI Dynamic Bond Fund - G","SBI Dynamic Bond Fund"
"a3N20000000016YEAQ","Kotak Gold Fund - G","Kotak Gold"
"a3N20000000016ZEAQ","SBI Emerging Businesses Fund - Regular Plan - G","SBI Emerging Businesses Fund - Regular Plan - G"
"a3N20000000016aEAA","UTI Mastershare Unit Scheme-D","UTI Master Share"
"a3N20000000016bEAA","IDFC MM Treasury","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000016cEAA","Reliance Growth - Retial","Reliance Growth Fund - Retail Plan"
"a3N20000000016dEAA","Reliance RSF - Equity","Reliance Regular Savings Fund"
"a3N20000000016eEAA","SBI Blue Chip Fund","TestTest"
"a3N20000000016fEAA","Saving Bank Account","Savings Account"
"a3N20000000016gEAA","Bajaj Allianz Premium Persoanl Guard","Bajaj Allianz Premier Personal Guard"
"a3N20000000016hEAA","HDFC MIP","HDFC Monthly Income Plan - Long Term Plan"
"a3N20000000016iEAA","L & T Equity Fund","L & T Equity"
"a3N20000000016jEAA","Pramerica Equity Fudn","Pramerica Equity Fund"
"a3N20000000016kEAA","Templeton India Short Term Income Plan-G","Templeton India Short-term Income Ret"
"a3N20000000016lEAA","HDFC Medium term","HDFC FMP"
"a3N20000000016mEAA","DSP BR Tax Saver","DSP BlackRock Tax Saver Fund"
"a3N20000000016nEAA","Franklin India Prima Plus","Franklin India Prima Fund"
"a3N20000000011BEAQ","HDFC Top 200","HDFC Top 200 Fund"
"a3N20000000011CEAQ","BSL Dynamic","Birla Sun Life Dynamic Bond Fund"
"a3N20000000011DEAQ","Birla SL - Dynamic","Birla Sun Life Dynamic Bond Fund"
"a3N20000000011EEAQ","Reliance - Gold Savings Fund","Reliance Gold Savings Fund"
"a3N20000000011FEAQ","HDFC - Top 200 Fund","HDFC Top 200 Fund"
"a3N20000000011GEAQ","IDFC - Premier Equity Fund","IDFC Premier Equity Fund - Plan A"
"a3N20000000011HEAQ","DSP BlackRock - Equity Fund","DSP BlackRock Equity Fund"
"a3N20000000011IEAQ","Reliance Gold Savings","Reliance Gold Savings Fund"
"a3N20000000011JEAQ","Savings account","Savings Account"
"a3N20000000011KEAQ","IDFC MM Treasury A","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000011LEAQ","Bajaj Allianz Health Guard","Bajaj Allianz Health Guard"
"a3N20000000011MEAQ","ICICI Focused Bluechip Equity","ICICI Blue Chip Fund Growth"
"a3N20000000011NEAQ","Reliance Gold Saving","Reliance Gold Savings Fund"
"a3N20000000011OEAQ","Pramerica Short Term","Pramerica Short Term Income Fund"
"a3N20000000011PEAQ","BSL Savings Div Yield","Birla Sun Life Dividend Yield Plus"
"a3N20000000011kEAA","DSP BR Money Manager Fund","DSP BlackRock Money Manager Fund"
"a3N20000000011lEAA","Savings Bank A/c","Savings Account"
"a3N20000000011mEAA","Bajaj Allianz Critical Care Cover","Bajaj Allianz Critical Care Policy"
"a3N20000000011nEAA","Bajaj Allianz Extra Care Policy","Bajaj Allianz Extra Care"
"a3N20000000011oEAA","Pramerica Short Term Fund","Pramerica Short Term Income Fund"
"a3N20000000011pEAA","AXIS Equity","Axis Equity Fund"
"a3N20000000011qEAA","BSL Div Yield","Birla Sun Life Dividend Yield Plus"
"a3N20000000011rEAA","IDFC Money Manager","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000011sEAA","HDFC Equity Fund","HDFC Equity Fund"
"a3N20000000011tEAA","Reliance Regular Savings Fund","Reliance Regular Savings Equity"
