Product_Name__c	Product_Manufacturer__c	ProductType__c	Is_Active__c	Investment_Type__c	RecordType 	Upfront_Commission__c 	Trail_Commission__c 
Axis Equity Fund	a1QW00000001FvAMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1.25	0.5
AXIS Treasury Advantage Fund	a1QW00000001FvAMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.9
Axis Triple Advantage Fund 	a1QW00000001FvAMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1.25	0.5
Birla Sun Life Dividend Yield Plus - Growth	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1	0.5
Birla Sun Life Dynamic Bond Fund	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0
Birla Sun Life Frontline Equity Fund	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1	0.5
Birla Sun Life Infrastructure Fund	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1	0.5
Birla Sun Life Medium Term Plan	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1.25	0
Birla Sun Life Savings Fund	a1QW00000001FuOMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.05
DSP BlackRock Equity Fund - Regular Plan	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.85
DSP BlackRock Micro Cap Fund	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.85
DSP BlackRock Equity Fund 	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.85
DSP BlackRock Short Term Fund	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.7	0
DSP BlackRock Top 100 Equity Fund	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.85
DSP BlackRock Money Manager Fund	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.7
DSP BlackRock Small and Mid Cap Fund	a1QW00000001FvBMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.85
Franklin India Flexi Cap Fund	a1QW00000001FvCMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.9
HDFC Cash Management Treasury Advantage Fund	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.75
HDFC Equity Fund	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
HDFC High Interest Fund - Short Term Plan	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.3
HDFC Mid-Cap Opportunities Fund 	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
HDFC Monthly Income Plan - Short Term Plan	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	1.15	0
HDFC Prudence Fund	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
HDFC Top 200 Fund	a1QW00000001FvLMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
ICICI Health Care Plus	a1QW00000001FvPMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	18	0
IDFC Dynamic Bond Fund	a1QW00000001FvDMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.75
IDFC Money Manager Fund - Treasury Plan A	a1QW00000001FvDMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.75
IDFC Premier Equity Fund - Plan A	a1QW00000001FvDMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
IDFC Sterling Equity Fund 	a1QW00000001FvDMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.75
Pramerica Credit Opportunities Fund	a1QW00000001FvEMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	0.5
Pramerica Equity Fund	a1QW00000001FvEMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.5	1.5
Pramerica Short Term Income Fund	a1QW00000001FvEMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.15	0
Pramerica Ultra Short Term Bond Fund	a1QW00000001FvEMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.25
Reliance Gold Savings Fund	a1QW00000001FuTMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.7	0
Reliance Growth Fund - Retail Plan	a1QW00000001FuTMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0.9	0.5
Reliance Liquid Fund - Cash Plan	a1QW00000001FuTMAU	Mutual Fund	TRUE	SIP	012W00000004QVmIAM	0	0.6
